Regional Economy,Statistic,Value,Footnote,Unit of Measurement,Year,Sustainable Development Goal,ADB Country Code
"China, People's Republic of",Debt Service as a Percentage of Exports of Goods and Services,0.76,,%,2018,17.4.1,PRC
"China, People's Republic of",Domestic Material Consumption,35101.02,,Million Metric Tons,2017,12.2.2,PRC
"China, People's Republic of",Domestic Material Consumption,24.9,,Per Capita,2017,12.2.2,PRC
"China, People's Republic of",Forest Area as a Proportion of Total Land Area,22.1,,%,2015,15.1.1,PRC
"China, People's Republic of",Government Finance - Expenditure,24.11,,% of  GDP,2019,,PRC
"China, People's Republic of",Government Finance - Fiscal Balance,-4.89,,% of  GDP,2019,,PRC
"China, People's Republic of",Government Finance - Revenue,19.21,,% of  GDP,2019,,PRC
"China, People's Republic of",Gross Domestic Investment,41.65,,% of GDP,2019,,PRC
"China, People's Republic of",Gross International Reserves,3323292.23,,$ million,2019,,PRC
"China, People's Republic of",Growth Rate of Merchandise Exports,0.52,,%,2019,,PRC
"China, People's Republic of",Growth Rate of Merchandise Imports,-2.72,,%,2019,,PRC
"China, People's Republic of",Growth Rates of Household Expenditure or Income per Capita,7.12,,%,2013-2016,10.1.1,PRC
"China, People's Republic of",Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,8.38,,%,2013-2016,10.1.1,PRC
"China, People's Republic of",Inflation Rate,2.9,,%,2019,,PRC
"China, People's Republic of",Material Footprint,29432.06,,Million Metric Tons,2017,12.2.1,PRC
"China, People's Republic of",Material Footprint,20.88,,Per Capita,2017,12.2.1,PRC
"China, People's Republic of",Maternal Mortality Ratio,29,,"per 100,000 live births",2017,3.1.1,PRC
"China, People's Republic of","Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",17,,%,2016,3.4.1,PRC
"China, People's Republic of",Neonatal Mortality Rate,4.3,,"per 1,000 live births",2018,3.2.2,PRC
"China, People's Republic of","Nominal Gross Domestic Product
(GDP)



",14075.56,,$ billion,2019,,PRC
"China, People's Republic of",Number of ATMs,97.12,,"per 100,000 adults",2018,8.10.1,PRC
"China, People's Republic of",Number of Commercial Bank Branches ,8.88,,"per 100,000 adults",2018,8.10.1,PRC
"China, People's Republic of",Participation Rate in Organized Learning (1 year before the official primary entry age) (Female),…,,%,2018,4.2.2,PRC
"China, People's Republic of",Participation Rate in Organized Learning (1 year before the official primary entry age) (Male),…,,%,2018,4.2.2,PRC
"China, People's Republic of",Participation Rate in Organized Learning (1 year before the official primary entry age) (Total),…,,%,2018,4.2.2,PRC
"China, People's Republic of","Per Capita Gross National Income (GNI), Atlas Method",9460,,$,2018,,PRC
"China, People's Republic of",Population Density,146,,persons per km2 of surface area,2019,,PRC
"China, People's Republic of",Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,9.1,2,%,2013,2.2.2,PRC
"China, People's Republic of",Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,1.9,2,%,,2.2.2,PRC
"China, People's Republic of",Prevalence of Stunting among Children under 5 Years of Age,8.1,2,%,2013,2.2.1,PRC
"China, People's Republic of",Prevalence of Undernourishment,8.5,,%,2016-2018,2.1.1,PRC
"China, People's Republic of",Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,80.23,,%,2017,8.10.2,PRC
"China, People's Republic of",Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,…,,%,2016,16.9.1,PRC
"China, People's Republic of",Proportion of Employed Population below $1.90 PPP a Day (Female),0.59,,%,2019,1.1.1,PRC
"China, People's Republic of",Proportion of Employed Population below $1.90 PPP a Day (Male),0.42,,%,2019,1.1.1,PRC
"China, People's Republic of",Proportion of Employed Population below $1.90 PPP a Day (Total),0.49,,%,2019,1.1.1,PRC
"China, People's Republic of",Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,0.52,5,%,2016,,PRC
"China, People's Republic of",Proportion of Population Covered by Mobile Network - 2G,99.9,,%,2018,9.c.1,PRC
"China, People's Republic of",Proportion of Population Covered by Mobile Network - 3G,99.4,,%,2018,9.c.1,PRC
"China, People's Republic of",Proportion of Population Covered by Mobile Network - LTE/WiMAX,99.4,,%,2018,9.c.1,PRC
"China, People's Republic of","Proportion of Population Living below
the National Poverty Line",1.7,¤,%,2018,,PRC
"China, People's Republic of",Proportion of Population Using Safely Managed Drinking Water Services (Rural),…,,%,2017,6.1.1,PRC
"China, People's Republic of",Proportion of Population Using Safely Managed Drinking Water Services (Total),…,,%,2017,6.1.1,PRC
"China, People's Republic of",Proportion of Population Using Safely Managed Drinking Water Services (Urban),92.33,,%,2017,6.1.1,PRC
"China, People's Republic of","Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",56.07,,%,2017,6.2.1,PRC
"China, People's Republic of","Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",72.08,,%,2017,6.2.1,PRC
"China, People's Republic of","Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Urban)",83.7,,%,2017,6.2.1,PRC
"China, People's Republic of",Proportion of Population with Access to Electricity,100,,%,2017,7.1.1,PRC
"China, People's Republic of",Proportion of Seats Held by Women in National Parliaments,24.94,,%,2019,5.5.1,PRC
"China, People's Republic of",Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Lower Secondary),…,,%,2018,4.c.1,PRC
"China, People's Republic of",Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Preprimary),…,,%,2018,4.c.1,PRC
"China, People's Republic of",Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Primary),…,,%,2018,4.c.1,PRC
"China, People's Republic of",Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Upper Secondary),…,,%,2018,4.c.1,PRC
"China, People's Republic of",Renewable Energy Share in the Total Final Energy Consumption,12.77,,%,2017,7.2.1,PRC
"China, People's Republic of",Surface Area,9562.91,,'000  km2,,,PRC
"China, People's Republic of",Total Fertility Rate,1.69,,births per woman,2018,,PRC
"China, People's Republic of",Total Official Flows for Infrastructure - Official Development Assistance (ODA),270.15,,"disbursements, constant 2017, $ million",2018,9.a.1,PRC
"China, People's Republic of",Total Official Flows for Infrastructure - Other Official Flows (OOF),2206.9,,"disbursements, constant 2017, $ million",2018,9.a.1,PRC
"China, People's Republic of",Total Outstanding,1965214.11,,$ million,2018,,PRC
"China, People's Republic of",Total Outstanding,14.91,,% of GNI,2018,,PRC
"China, People's Republic of",Total Population,1400.05,,million,2019,,PRC
"China, People's Republic of",Trade Balance,3.29,,% of GDP,2019,,PRC
"China, People's Republic of",Tuberculosis Incidence,61,,"per 100,000 population",2018,3.3.2,PRC
"China, People's Republic of",Under-5 Mortality Rate,8.6,,"per 1,000 live births",2018,3.2.1,PRC
"China, People's Republic of","Unemployment Rate, by Sex (Female)",3.73,,%,2019,8.5.2,PRC
"China, People's Republic of","Unemployment Rate, by Sex (Male)",4.78,,%,2019,8.5.2,PRC
"China, People's Republic of","Unemployment Rate, by Sex (Total)",4.32,,%,2019,8.5.2,PRC
"China, People's Republic of",Volume of Remittances in United States Dollars as a Proportion of Total GDP,0.18,,%,2018,17.3.2,PRC
Cook Islands,Age Dependency Ratio,69,¤,% of working-age population,2018,,COO
Cook Islands,"Annual Change 
in Money Supply",7.29,,%,2019,,COO
Cook Islands,"Annual Growth Rate of GDP



",5.28,,%,2019,,COO
Cook Islands,Annual Growth Rate of Real GDP per Employed Person,…,,%,2019,8.2.1,COO
Cook Islands,Annual Real Growth Rates on Value Added (Agriculture),-1.86,,%,2019,,COO
Cook Islands,Annual Real Growth Rates on Value Added (Industry),25.61,,%,2019,,COO
Cook Islands,Annual Real Growth Rates on Value Added (Services),4.35,,%,2019,,COO
Cook Islands,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,…,,μg/m3,2016,11.6.2,COO
Cook Islands,Average Annual Population Growth Rate,0.17,¤,%,2016-2019,,COO
Cook Islands,CO2 Emissions,…,,Million Metric Tons,2017,9.4.1,COO
Cook Islands,CO2 Emissions,…,,Per Unit of GDP (PPP),2017,9.4.1,COO
Cook Islands,Coverage of Protected Areas in Relation to Marine Areas,99.22,,%,2018,14.5.1,COO
Cook Islands,Current Account Balance,3.56,,% of GDP,2019,,COO
Cook Islands,Debt Service as a Percentage of Exports of Goods and Services,…,,%,2018,17.4.1,COO
Cook Islands,Domestic Material Consumption,…,,Million Metric Tons,2017,12.2.2,COO
Cook Islands,Domestic Material Consumption,…,,Per Capita,2017,12.2.2,COO
Cook Islands,Forest Area as a Proportion of Total Land Area,62.92,,%,2015,15.1.1,COO
Cook Islands,Government Finance - Expenditure,38.91,,% of  GDP,2019,,COO
Cook Islands,Government Finance - Fiscal Balance,3.44,,% of  GDP,2019,,COO
Cook Islands,Government Finance - Revenue,42.35,,% of  GDP,2019,,COO
Cook Islands,Gross Domestic Investment,…,,% of GDP,2019,,COO
Cook Islands,Gross International Reserves,…,,$ million,2019,,COO
Cook Islands,Growth Rate of Merchandise Exports,-56.75,,%,2019,,COO
Cook Islands,Growth Rate of Merchandise Imports,-5.03,,%,2019,,COO
Cook Islands,Growth Rates of Household Expenditure or Income per Capita,…,,%,,10.1.1,COO
Cook Islands,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,%,,10.1.1,COO
Cook Islands,Inflation Rate,0.82,,%,2019,,COO
Cook Islands,Material Footprint,…,,Million Metric Tons,2017,12.2.1,COO
Cook Islands,Material Footprint,…,,Per Capita,2017,12.2.1,COO
Cook Islands,Maternal Mortality Ratio,…,,"per 100,000 live births",2017,3.1.1,COO
Cook Islands,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",…,,%,2016,3.4.1,COO
Cook Islands,Neonatal Mortality Rate,4.1,,"per 1,000 live births",2018,3.2.2,COO
Cook Islands,"Nominal Gross Domestic Product
(GDP)



",0.37,,$ billion,2019,,COO
Cook Islands,Number of ATMs,…,,"per 100,000 adults",2018,8.10.1,COO
Cook Islands,Number of Commercial Bank Branches ,…,,"per 100,000 adults",2018,8.10.1,COO
Cook Islands,Participation Rate in Organized Learning (1 year before the official primary entry age) (Female),100,5,%,2016,4.2.2,COO
Cook Islands,Participation Rate in Organized Learning (1 year before the official primary entry age) (Male),95.8,5,%,2016,4.2.2,COO
Cook Islands,Participation Rate in Organized Learning (1 year before the official primary entry age) (Total),97.85,5,%,2016,4.2.2,COO
Cook Islands,"Per Capita Gross National Income (GNI), Atlas Method",18538.3,,$,2018,,COO
Cook Islands,Population Density,64,,persons per km2 of surface area,2019,,COO
Cook Islands,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,…,,%,2017,2.2.2,COO
Cook Islands,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,…,,%,2017,2.2.2,COO
Cook Islands,Prevalence of Stunting among Children under 5 Years of Age,…,,%,2017,2.2.1,COO
Cook Islands,Prevalence of Undernourishment,…,,%,2016-2018,2.1.1,COO
Cook Islands,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,…,,%,2017,8.10.2,COO
Cook Islands,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,100,6,%,2017,16.9.1,COO
Cook Islands,Proportion of Employed Population below $1.90 PPP a Day (Female),…,,%,2019,1.1.1,COO
Cook Islands,Proportion of Employed Population below $1.90 PPP a Day (Male),…,,%,2019,1.1.1,COO
Cook Islands,Proportion of Employed Population below $1.90 PPP a Day (Total),…,,%,2019,1.1.1,COO
Cook Islands,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,…,,%,2018,,COO
Cook Islands,Proportion of Population Covered by Mobile Network - 2G,100,6,%,2017,9.c.1,COO
Cook Islands,Proportion of Population Covered by Mobile Network - 3G,55,6,%,2017,9.c.1,COO
Cook Islands,Proportion of Population Covered by Mobile Network - LTE/WiMAX,55,6,%,2017,9.c.1,COO
Cook Islands,"Proportion of Population Living below
the National Poverty Line",…,,%,2018,,COO
Cook Islands,Proportion of Population Using Safely Managed Drinking Water Services (Rural),99.9,5,%,2016,6.1.1,COO
Cook Islands,Proportion of Population Using Safely Managed Drinking Water Services (Total),99.9,5,%,2016,6.1.1,COO
Cook Islands,Proportion of Population Using Safely Managed Drinking Water Services (Urban),100,5,%,2016,6.1.1,COO
Cook Islands,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",…,,%,2017,6.2.1,COO
Cook Islands,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",…,,%,2017,6.2.1,COO
Cook Islands,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Urban)",…,,%,2017,6.2.1,COO
Cook Islands,Proportion of Population with Access to Electricity,100,,%,2017,7.1.1,COO
Cook Islands,Proportion of Seats Held by Women in National Parliaments,17,3,%,2014,5.5.1,COO
Cook Islands,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Lower Secondary),…,,%,2018,4.c.1,COO
Cook Islands,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Preprimary),78.13,5,%,2016,4.c.1,COO
Cook Islands,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Primary),95.33,5,%,2016,4.c.1,COO
Cook Islands,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Upper Secondary),…,,%,2018,4.c.1,COO
Cook Islands,Renewable Energy Share in the Total Final Energy Consumption,1.74,,%,2017,7.2.1,COO
Cook Islands,Surface Area,0.24,,'000  km2,,,COO
Cook Islands,Total Fertility Rate,2.14,8,births per woman,2019,,COO
Cook Islands,Total Official Flows for Infrastructure - Official Development Assistance (ODA),6.77,,"disbursements, constant 2017, $ million",2018,9.a.1,COO
Cook Islands,Total Official Flows for Infrastructure - Other Official Flows (OOF),2.45,,"disbursements, constant 2017, $ million",2018,9.a.1,COO
Cook Islands,Total Outstanding,68.34,,$ million,2018,,COO
Cook Islands,Total Outstanding,…,,% of GNI,2018,,COO
Cook Islands,Total Population,0.02,,million,2019,,COO
Cook Islands,Trade Balance,-32.79,,% of GDP,2019,,COO
Cook Islands,Tuberculosis Incidence,–,,"per 100,000 population",2018,3.3.2,COO
Cook Islands,Under-5 Mortality Rate,7.9,,"per 1,000 live births",2018,3.2.1,COO
Cook Islands,"Unemployment Rate, by Sex (Female)",…,,%,2019,8.5.2,COO
Cook Islands,"Unemployment Rate, by Sex (Male)",…,,%,2019,8.5.2,COO
Cook Islands,"Unemployment Rate, by Sex (Total)",…,,%,2019,8.5.2,COO
Cook Islands,Volume of Remittances in United States Dollars as a Proportion of Total GDP,…,,%,2018,17.3.2,COO
Fiji,Age Dependency Ratio,53.76,,% of working-age population,2018,,FIJ
Fiji,"Annual Change 
in Money Supply",3.15,7,%,2018,,FIJ
Fiji,"Annual Growth Rate of GDP



",0.68,,%,2019,,FIJ
Fiji,Annual Growth Rate of Real GDP per Employed Person,1.69,,%,2019,8.2.1,FIJ
Fiji,Annual Real Growth Rates on Value Added (Agriculture),3.65,,%,2019,,FIJ
Fiji,Annual Real Growth Rates on Value Added (Industry),-0.54,,%,2019,,FIJ
Fiji,Annual Real Growth Rates on Value Added (Services),0.76,,%,2019,,FIJ
Fiji,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,10.5,,μg/m3,2016,11.6.2,FIJ
Fiji,Average Annual Population Growth Rate,0.44,¤,%,2016-2019,,FIJ
Fiji,CO2 Emissions,…,,Million Metric Tons,2017,9.4.1,FIJ
Fiji,CO2 Emissions,…,,Per Unit of GDP (PPP),2017,9.4.1,FIJ
Fiji,Coverage of Protected Areas in Relation to Marine Areas,0.91,,%,2018,14.5.1,FIJ
Fiji,Current Account Balance,-4.19,,% of GDP,2019,,FIJ
Fiji,Debt Service as a Percentage of Exports of Goods and Services,1.95,,%,2018,17.4.1,FIJ
Fiji,Domestic Material Consumption,5.49,,Million Metric Tons,2017,12.2.2,FIJ
Fiji,Domestic Material Consumption,6.06,,Per Capita,2017,12.2.2,FIJ
Fiji,Forest Area as a Proportion of Total Land Area,55.68,,%,2015,15.1.1,FIJ
Fiji,Government Finance - Expenditure,30.49,,% of  GDP,2019,,FIJ
Fiji,Government Finance - Fiscal Balance,-3.45,,% of  GDP,2019,,FIJ
Fiji,Government Finance - Revenue,27.04,,% of  GDP,2019,,FIJ
Fiji,Gross Domestic Investment,19.55,6,% of GDP,2017,,FIJ
Fiji,Gross International Reserves,1295.93,,$ million,2019,,FIJ
Fiji,Growth Rate of Merchandise Exports,-7.13,,%,2019,,FIJ
Fiji,Growth Rate of Merchandise Imports,-11.52,,%,2019,,FIJ
Fiji,Growth Rates of Household Expenditure or Income per Capita,…,,%,,10.1.1,FIJ
Fiji,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,%,,10.1.1,FIJ
Fiji,Inflation Rate,1.77,,%,2019,,FIJ
Fiji,Material Footprint,6.55,,Million Metric Tons,2017,12.2.1,FIJ
Fiji,Material Footprint,7.23,,Per Capita,2017,12.2.1,FIJ
Fiji,Maternal Mortality Ratio,34,,"per 100,000 live births",2017,3.1.1,FIJ
Fiji,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",30.6,,%,2016,3.4.1,FIJ
Fiji,Neonatal Mortality Rate,10.9,,"per 1,000 live births",2018,3.2.2,FIJ
Fiji,"Nominal Gross Domestic Product
(GDP)



",5.49,,$ billion,2019,,FIJ
Fiji,Number of ATMs,54.28,,"per 100,000 adults",2018,8.10.1,FIJ
Fiji,Number of Commercial Bank Branches ,11.88,,"per 100,000 adults",2018,8.10.1,FIJ
Fiji,Participation Rate in Organized Learning (1 year before the official primary entry age) (Female),…,,%,2018,4.2.2,FIJ
Fiji,Participation Rate in Organized Learning (1 year before the official primary entry age) (Male),…,,%,2018,4.2.2,FIJ
Fiji,Participation Rate in Organized Learning (1 year before the official primary entry age) (Total),…,,%,2018,4.2.2,FIJ
Fiji,"Per Capita Gross National Income (GNI), Atlas Method",5860,,$,2018,,FIJ
Fiji,Population Density,49,,persons per km2 of surface area,2019,,FIJ
Fiji,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,…,,%,2017,2.2.2,FIJ
Fiji,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,…,,%,2017,2.2.2,FIJ
Fiji,Prevalence of Stunting among Children under 5 Years of Age,…,,%,2017,2.2.1,FIJ
Fiji,Prevalence of Undernourishment,3.7,,%,2016-2018,2.1.1,FIJ
Fiji,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,…,,%,2017,8.10.2,FIJ
Fiji,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,…,,%,2016,16.9.1,FIJ
Fiji,Proportion of Employed Population below $1.90 PPP a Day (Female),0.25,,%,2019,1.1.1,FIJ
Fiji,Proportion of Employed Population below $1.90 PPP a Day (Male),0.24,,%,2019,1.1.1,FIJ
Fiji,Proportion of Employed Population below $1.90 PPP a Day (Total),0.24,,%,2019,1.1.1,FIJ
Fiji,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,1.37,2,%,2013,,FIJ
Fiji,Proportion of Population Covered by Mobile Network - 2G,98,,%,2018,9.c.1,FIJ
Fiji,Proportion of Population Covered by Mobile Network - 3G,94,,%,2018,9.c.1,FIJ
Fiji,Proportion of Population Covered by Mobile Network - LTE/WiMAX,75,,%,2018,9.c.1,FIJ
Fiji,"Proportion of Population Living below
the National Poverty Line",28.1,"2,*",%,2013,,FIJ
Fiji,Proportion of Population Using Safely Managed Drinking Water Services (Rural),…,,%,2017,6.1.1,FIJ
Fiji,Proportion of Population Using Safely Managed Drinking Water Services (Total),98,4,%,2015,6.1.1,FIJ
Fiji,Proportion of Population Using Safely Managed Drinking Water Services (Urban),…,,%,2017,6.1.1,FIJ
Fiji,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",…,,%,2017,6.2.1,FIJ
Fiji,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",96,4,%,2015,6.2.1,FIJ
Fiji,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Urban)",…,,%,2017,6.2.1,FIJ
Fiji,Proportion of Population with Access to Electricity,96,,%,2017,7.1.1,FIJ
Fiji,Proportion of Seats Held by Women in National Parliaments,19.61,,%,2019,5.5.1,FIJ
Fiji,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Lower Secondary),100,1,%,2012,4.c.1,FIJ
Fiji,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Preprimary),…,,%,2018,4.c.1,FIJ
Fiji,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Primary),100,1,%,2012,4.c.1,FIJ
Fiji,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Upper Secondary),100,1,%,2012,4.c.1,FIJ
Fiji,Renewable Energy Share in the Total Final Energy Consumption,26.97,,%,2017,7.2.1,FIJ
Fiji,Surface Area,18.27,,'000  km2,,,FIJ
Fiji,Total Fertility Rate,2.77,,births per woman,2018,,FIJ
Fiji,Total Official Flows for Infrastructure - Official Development Assistance (ODA),10.24,,"disbursements, constant 2017, $ million",2018,9.a.1,FIJ
Fiji,Total Official Flows for Infrastructure - Other Official Flows (OOF),8.23,,"disbursements, constant 2017, $ million",2018,9.a.1,FIJ
Fiji,Total Outstanding,698.24,,$ million,2018,,FIJ
Fiji,Total Outstanding,13.48,,% of GNI,2018,,FIJ
Fiji,Total Population,0.89,,million,2019,,FIJ
Fiji,Trade Balance,-20.43,,% of GDP,2019,,FIJ
Fiji,Tuberculosis Incidence,54,,"per 100,000 population",2018,3.3.2,FIJ
Fiji,Under-5 Mortality Rate,25.6,,"per 1,000 live births",2018,3.2.1,FIJ
Fiji,"Unemployment Rate, by Sex (Female)",5.32,,%,2019,8.5.2,FIJ
Fiji,"Unemployment Rate, by Sex (Male)",3.5,,%,2019,8.5.2,FIJ
Fiji,"Unemployment Rate, by Sex (Total)",4.1,,%,2019,8.5.2,FIJ
Fiji,Volume of Remittances in United States Dollars as a Proportion of Total GDP,5.14,,%,2018,17.3.2,FIJ
Georgia,Age Dependency Ratio,53.05,,% of working-age population,2018,,GEO
Georgia,"Annual Change 
in Money Supply",16.66,,%,2019,,GEO
Georgia,"Annual Growth Rate of GDP



",5.15,,%,2019,,GEO
Georgia,Annual Growth Rate of Real GDP per Employed Person,5.79,,%,2019,8.2.1,GEO
Georgia,Annual Real Growth Rates on Value Added (Agriculture),-0.96,,%,2019,,GEO
Georgia,Annual Real Growth Rates on Value Added (Industry),2.69,,%,2019,,GEO
Georgia,Annual Real Growth Rates on Value Added (Services),6.78,,%,2019,,GEO
Georgia,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,24,,μg/m3,2016,11.6.2,GEO
Georgia,Average Annual Population Growth Rate,0.08,,%,2014-2019,,GEO
Georgia,CO2 Emissions,8.72,,Million Metric Tons,2017,9.4.1,GEO
Georgia,CO2 Emissions,0.25,,Per Unit of GDP (PPP),2017,9.4.1,GEO
Georgia,Coverage of Protected Areas in Relation to Marine Areas,0.67,,%,2018,14.5.1,GEO
Georgia,Current Account Balance,-4.46,,% of GDP,2019,,GEO
Georgia,Debt Service as a Percentage of Exports of Goods and Services,4.8,,%,2018,17.4.1,GEO
Georgia,Domestic Material Consumption,26.47,,Million Metric Tons,2017,12.2.2,GEO
Georgia,Domestic Material Consumption,6.77,,Per Capita,2017,12.2.2,GEO
Georgia,Forest Area as a Proportion of Total Land Area,40.62,,%,2015,15.1.1,GEO
Georgia,Government Finance - Expenditure,27.9,,% of  GDP,2019,,GEO
Georgia,Government Finance - Fiscal Balance,-2.1,,% of  GDP,2019,,GEO
Georgia,Government Finance - Revenue,25.81,,% of  GDP,2019,,GEO
Georgia,Gross Domestic Investment,30.59,,% of GDP,2019,,GEO
Georgia,Gross International Reserves,3300,,$ million,2019,,GEO
Georgia,Growth Rate of Merchandise Exports,13.55,,%,2019,,GEO
Georgia,Growth Rate of Merchandise Imports,0.8,,%,2019,,GEO
Georgia,Growth Rates of Household Expenditure or Income per Capita,1.42,,%,2013-2018,10.1.1,GEO
Georgia,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,2.65,,%,2013-2018,10.1.1,GEO
Georgia,Inflation Rate,4.9,,%,2019,,GEO
Georgia,Material Footprint,35.66,,Million Metric Tons,2017,12.2.1,GEO
Georgia,Material Footprint,9.12,,Per Capita,2017,12.2.1,GEO
Georgia,Maternal Mortality Ratio,25,,"per 100,000 live births",2017,3.1.1,GEO
Georgia,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",24.9,,%,2016,3.4.1,GEO
Georgia,Neonatal Mortality Rate,5.9,,"per 1,000 live births",2018,3.2.2,GEO
Georgia,"Nominal Gross Domestic Product
(GDP)



",17.74,,$ billion,2019,,GEO
Georgia,Number of ATMs,77.53,,"per 100,000 adults",2018,8.10.1,GEO
Georgia,Number of Commercial Bank Branches ,31.48,,"per 100,000 adults",2018,8.10.1,GEO
Georgia,Participation Rate in Organized Learning (1 year before the official primary entry age) (Female),…,,%,2018,4.2.2,GEO
Georgia,Participation Rate in Organized Learning (1 year before the official primary entry age) (Male),…,,%,2018,4.2.2,GEO
Georgia,Participation Rate in Organized Learning (1 year before the official primary entry age) (Total),…,,%,2018,4.2.2,GEO
Georgia,"Per Capita Gross National Income (GNI), Atlas Method",4440,,$,2018,,GEO
Georgia,Population Density,54,,persons per km2 of surface area,2019,,GEO
Georgia,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,…,,%,2017,2.2.2,GEO
Georgia,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,…,,%,2017,2.2.2,GEO
Georgia,Prevalence of Stunting among Children under 5 Years of Age,…,,%,2017,2.2.1,GEO
Georgia,Prevalence of Undernourishment,7.9,,%,2016-2018,2.1.1,GEO
Georgia,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,61.23,,%,2017,8.10.2,GEO
Georgia,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,99.6,4,%,2015,16.9.1,GEO
Georgia,Proportion of Employed Population below $1.90 PPP a Day (Female),3,,%,2019,1.1.1,GEO
Georgia,Proportion of Employed Population below $1.90 PPP a Day (Male),4.13,,%,2019,1.1.1,GEO
Georgia,Proportion of Employed Population below $1.90 PPP a Day (Total),3.61,,%,2019,1.1.1,GEO
Georgia,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,4.54,,%,2018,,GEO
Georgia,Proportion of Population Covered by Mobile Network - 2G,99.98,,%,2018,9.c.1,GEO
Georgia,Proportion of Population Covered by Mobile Network - 3G,99.98,,%,2018,9.c.1,GEO
Georgia,Proportion of Population Covered by Mobile Network - LTE/WiMAX,99.72,,%,2018,9.c.1,GEO
Georgia,"Proportion of Population Living below
the National Poverty Line",20.1,,%,2018,,GEO
Georgia,Proportion of Population Using Safely Managed Drinking Water Services (Rural),…,,%,2017,6.1.1,GEO
Georgia,Proportion of Population Using Safely Managed Drinking Water Services (Total),79.99,,%,2017,6.1.1,GEO
Georgia,Proportion of Population Using Safely Managed Drinking Water Services (Urban),…,,%,2017,6.1.1,GEO
