Regional Economy,Statistic,Value,Year,Sustainable Development Goal,Country Code
Fiji,Gross Domestic Investment (% of GDP),16.28,2015,,FJI
Fiji,Gross Domestic Product (GDP) Annual Growth Rate (%),3.57,2015,,FJI
Fiji,Gross Domestic Product (GDP) Annual Growth Rate (%),2,2016,,FJI
Fiji,Gross International Reserves ($ million),915.14,2016,,FJI
Fiji,Growth Rate of Merchandise Exports (%),-1.51,2016,,FJI
Fiji,Growth Rate of Merchandise Imports (%),0.72,2016,,FJI
Fiji,Inflation Rate (%),3.87,2016,,FJI
Fiji,"Per Capita Gross National Income (GNI), Atlas Method (%)",4830,2015,,FJI
Fiji,Trade Balance (% of GDP),-20.51,2016,,FJI
Fiji,"Value Added, Agriculture Annual Growth Rate (%)",6.3,2015,,FJI
Fiji,"Value Added, Industry Annual Growth Rate (%)",2.17,2015,,FJI
Fiji,"Value Added, Services Annual Growth Rate (%)",3.55,2015,,FJI
Georgia,"Age Dependency Ratio (Number of persons aged <15 and >= 65 to Number of persons aged 15-64 years, %)",45.67,2015,,GEO
Georgia,Average Annual Population Growth Rate (%),,,,GEO
Georgia,Gini Index (%),40.09,2014,,GEO
Georgia,"Land, Total Surface Area ('000  km2)",69.7,,,GEO
Georgia,Population Density (persons per km2 of total surface area),53.38,2016,,GEO
Georgia,Total Fertility Rate (births per woman),1.82,2015,,GEO
Georgia,Total Population (million),3.72,2016,,GEO
Georgia,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Female (%)",3.7,2013,1.1.1,GEO
Georgia,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Male (%)",4.03,2013,1.1.1,GEO
Georgia,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Total (%)",3.87,2013,1.1.1,GEO
Georgia,Proportion of Population below $1.90 Purchasing Power Parity (%),9.77,2014,1.1.1,GEO
Georgia,Proportion of Population Living below the National Poverty Line (%),20.1,2015,1.2.1,GEO
Georgia,Growth Rates of Household Expenditure or Income per Capita (%),4,2009-2014,10.1.1,GEO
Georgia,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population (%),4.58,2009-2014,10.1.1,GEO
Georgia,Proportion of Urban Population Living in Slums (%),,,11.1.1,GEO
Georgia,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas (migrogram/m3) (%),23,2014,11.6.2,GEO
Georgia,"Material Footprint, Million Metric Tons",29.69,2010,12.2.1,GEO
Georgia,"Material Footprint, Per Capita",6.76,2010,12.2.1,GEO
Georgia,"Domestic Material Consumption, Million Metric Tons",21.47,2010,12.2.2,GEO
Georgia,"Domestic Material Consumption, Per Capita",4.89,2010,12.2.2,GEO
Georgia,Coverage of Protected Areas in Relation to Marine Areas (%),,,14.5.1,GEO
Georgia,Forest Area as a Proportion of Total Land Area (%),40.62,2015,15.1.1,GEO
Georgia,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority (%),99.6,2013,16.9.1,GEO
Georgia,Volume of Remittances in US Dollars as a Proportion of Total GDP (%),10.45,2015,17.3.2,GEO
Georgia,Debt Service as a Percentage of Exports of Goods and Services (%),8.15,2015,17.4.1,GEO
Georgia,Fixed Broadband Subscriptions (per 100 inhabitants),14.74,2015,17.6.2,GEO
Georgia,Proportion of Individuals Using the Internet (%),47.57,2015,17.8.1,GEO
Georgia,Prevalence of Undernourishment (%),7.4,2014-2016,2.1.1,GEO
Georgia,Prevalence of Stunting among Children under 5 Years of Age (%),11.3,2009,2.2.1,GEO
Georgia,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age (%),19.9,2009,2.2.2,GEO
Georgia,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age (%),1.6,2009,2.2.2,GEO
Georgia,"Maternal Mortality Ratio (per 100,000 live births)",36,2015,3.1.1,GEO
Georgia,Proportion of Births Attended by Skilled Health Personnel (%),99.9,2014,3.1.2,GEO
Georgia,"Infant Mortality Rate (per 1,000 live births)",10.6,2015,3.2.1,GEO
Georgia,"Under-5 Mortality Rate (per 1,000 live births)",11.9,2015,3.2.1,GEO
Georgia,"Neonatal Mortality Rate (per 1,000 live births)",7.2,2015,3.2.2,GEO
Georgia,"Number of New HIV Infections (per 1,000 uninfected population)",0.28,2015,3.3.1,GEO
Georgia,"Tuberculosis Incidence (per 100,000 population)",99,2015,3.3.2,GEO
Georgia,"Incidence of Malaria (per 1,000 population)",0,2013,3.3.3,GEO
Georgia,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease (%)",21.59,2012,3.4.1,GEO
Georgia,"Death Rate due to Road Traffic Injuries (per 100,000 population)",11.8,2013,3.6.1,GEO
Georgia,Proportion of Women Married or in a Union of Reproductive Age (Aged 15-49 years) Who Have Their Need for Family Planning Satisfied with Modern Methods (%),52.8,2010,3.7.1,GEO
Georgia,"Adolescent Birthrate (Aged 15-19 Years) per 1,000 Women in That Age Group (%)",41.49,2013,3.7.2,GEO
Georgia,"Mortality Rate Attributed to Household and Ambient Air Pollution (per 100,000 population)",204.9,2012,3.9.1,GEO
Georgia,"Mortality Rate Attributed to Unsafe Water, Unsafe Sanitation, and Lack of Hygiene (per 100,000 population)",0.18,2012,3.9.2,GEO
Georgia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female (%)",,,4.2.2,GEO
Georgia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male (%)",,,4.2.2,GEO
Georgia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total (%)",,,4.2.2,GEO
Georgia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Lower Secondary",94.59,2009,4.c.1,GEO
Georgia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Preprimary",,,4.c.1,GEO
Georgia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Primary",94.59,2009,4.c.1,GEO
Georgia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Upper Secondary",94.84,2009,4.c.1,GEO
Georgia,Proportion of Seats Held by Women in National Parliaments (%),16,2016,5.5.1,GEO
Georgia,"Proportion of Population Using Improved Drinking Water Sources, Rural (%)",100,2015,6.1.1,GEO
Georgia,"Proportion of Population Using Improved Drinking Water Sources, Total (%)",100,2015,6.1.1,GEO
Georgia,"Proportion of Population Using Improved Drinking Water Sources, Urban (%)",100,2015,6.1.1,GEO
Georgia,"Proportion of Population Using Improved Sanitation Facilities, Rural (%)",75.92,2015,6.2.1,GEO
Georgia,"Proportion of Population Using Improved Sanitation Facilities, Total (%)",86.26,2015,6.2.1,GEO
Georgia,"Proportion of Population Using Improved Sanitation Facilities, Urban (%)",95.19,2015,6.2.1,GEO
Georgia,Proportion of Population with Access to Electricity (%),100,2014,7.1.1,GEO
Georgia,Renewal Energy Share in the Total Final Energy Consumption (%),31.89,2014,7.2.1,GEO
Georgia,"Number of ATMs (per 100,000 adults)",69.6,2015,8.10.1,GEO
Georgia,"Number of Commercial Bank Branches (per 100,000 adults)",31.92,2015,8.10.1,GEO
Georgia,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile-Money-Service Provider (%),47.54,2014,8.10.2,GEO
Georgia,Annual Growth Rate of Real GDP per Employed Person (%),4.29,2015,8.2.1,GEO
Georgia,"Unemployment Rate, Female (%)",10.2,2015,8.5.2,GEO
Georgia,"Unemployment Rate, Male (%)",13.5,2015,8.5.2,GEO
Georgia,"Unemployment Rate, Total (%)",12,2015,8.5.2,GEO
Georgia,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Female (%)",,,8.6.1,GEO
Georgia,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Male (%)",,,8.6.1,GEO
Georgia,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Total (%)",,,8.6.1,GEO
Georgia,"CO2 Emissions, Million Metric Tons",7.72,2014,9.4.1,GEO
Georgia,"CO2 Emissions, Per Unit of GDP (PPP)",0.24,2014,9.4.1,GEO
Georgia,Total Official Flows for Infrastructure (constant 2014 $ million),482.32,2015,9.a.1,GEO
Georgia,"Proportion of Population Covered by Mobile Network, 2G (%)",99,2015,9.c.1,GEO
Georgia,"Proportion of Population Covered by Mobile Network, 3G (%)",99,2015,9.c.1,GEO
Georgia,"Proportion of Population Covered by Mobile Network, LTE/WiMAX (%)",82,2015,9.c.1,GEO
Georgia,Annual Change in Money Supply (%),20.24,2016,,GEO
Georgia,"Central Government Finance, Expenditures (% of GDP)",33.03,2016,,GEO
Georgia,"Central Government Finance, Fiscal Balance (% of  GDP)",-4.5,2016,,GEO
Georgia,"Central Government Finance, Revenues (% of GDP)",28.52,2016,,GEO
Georgia,Current Account Balance (% of GDP),-13.1,2016,,GEO
Georgia,"External Debt, Total Outstanding (% of GNI)",78.31,2015,,GEO
Georgia,"External Debt, Total Outstanding ($ million)",11982.53,2015,,GEO
Georgia,Gross Domestic Investment (% of GDP),32.57,2016,,GEO
Georgia,Gross Domestic Product (GDP) Annual Growth Rate (%),2.9,2015,,GEO
Georgia,Gross Domestic Product (GDP) Annual Growth Rate (%),2.74,2016,,GEO
Georgia,Gross International Reserves ($ million),2756.45,2016,,GEO
Georgia,Growth Rate of Merchandise Exports (%),-3.57,2016,,GEO
Georgia,Growth Rate of Merchandise Imports (%),25.87,2016,,GEO
Georgia,Inflation Rate (%),2.1,2016,,GEO
Georgia,"Per Capita Gross National Income (GNI), Atlas Method (%)",4120,2015,,GEO
Georgia,Trade Balance (% of GDP),-44.62,2016,,GEO
Georgia,"Value Added, Agriculture Annual Growth Rate (%)",-0.03,2016,,GEO
Georgia,"Value Added, Industry Annual Growth Rate (%)",5.53,2016,,GEO
Georgia,"Value Added, Services Annual Growth Rate (%)",2.45,2016,,GEO
"Hong Kong, China","Age Dependency Ratio (Number of persons aged <15 and >= 65 to Number of persons aged 15-64 years, %)",37.03,2015,,HKG
"Hong Kong, China",Average Annual Population Growth Rate (%),0.74,2011-2016,,HKG
"Hong Kong, China",Gini Index (%),,,,HKG
"Hong Kong, China","Land, Total Surface Area ('000  km2)",1.11,,,HKG
"Hong Kong, China",Population Density (persons per km2 of total surface area),6644.39,2016,,HKG
"Hong Kong, China",Total Fertility Rate (births per woman),1.2,2015,,HKG
"Hong Kong, China",Total Population (million),7.34,2016,,HKG
"Hong Kong, China","Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Female (%)",,,1.1.1,HKG
"Hong Kong, China","Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Male (%)",,,1.1.1,HKG
"Hong Kong, China","Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Total (%)",,,1.1.1,HKG
"Hong Kong, China",Proportion of Population below $1.90 Purchasing Power Parity (%),,,1.1.1,HKG
"Hong Kong, China",Proportion of Population Living below the National Poverty Line (%),,,1.2.1,HKG
"Hong Kong, China",Growth Rates of Household Expenditure or Income per Capita (%),,,10.1.1,HKG
"Hong Kong, China",Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population (%),,,10.1.1,HKG
"Hong Kong, China",Proportion of Urban Population Living in Slums (%),,,11.1.1,HKG
"Hong Kong, China",Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas (migrogram/m3) (%),,,11.6.2,HKG
"Hong Kong, China","Material Footprint, Million Metric Tons",847,2010,12.2.1,HKG
"Hong Kong, China","Material Footprint, Per Capita",120.14,2010,12.2.1,HKG
"Hong Kong, China","Domestic Material Consumption, Million Metric Tons",54.61,2010,12.2.2,HKG
"Hong Kong, China","Domestic Material Consumption, Per Capita",7.75,2010,12.2.2,HKG
"Hong Kong, China",Coverage of Protected Areas in Relation to Marine Areas (%),,,14.5.1,HKG
"Hong Kong, China",Forest Area as a Proportion of Total Land Area (%),,,15.1.1,HKG
"Hong Kong, China",Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority (%),,,16.9.1,HKG
"Hong Kong, China",Volume of Remittances in US Dollars as a Proportion of Total GDP (%),0.13,2015,17.3.2,HKG
"Hong Kong, China",Debt Service as a Percentage of Exports of Goods and Services (%),,,17.4.1,HKG
"Hong Kong, China",Fixed Broadband Subscriptions (per 100 inhabitants),32.1,2015,17.6.2,HKG
"Hong Kong, China",Proportion of Individuals Using the Internet (%),84.95,2015,17.8.1,HKG
"Hong Kong, China",Prevalence of Undernourishment (%),,,2.1.1,HKG
"Hong Kong, China",Prevalence of Stunting among Children under 5 Years of Age (%),,,2.2.1,HKG
"Hong Kong, China",Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age (%),,,2.2.2,HKG
"Hong Kong, China",Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age (%),,,2.2.2,HKG
"Hong Kong, China","Maternal Mortality Ratio (per 100,000 live births)",1.6,2015,3.1.1,HKG
"Hong Kong, China",Proportion of Births Attended by Skilled Health Personnel (%),,,3.1.2,HKG
"Hong Kong, China","Infant Mortality Rate (per 1,000 live births)",1.5,2015,3.2.1,HKG
"Hong Kong, China","Under-5 Mortality Rate (per 1,000 live births)",,,3.2.1,HKG
"Hong Kong, China","Neonatal Mortality Rate (per 1,000 live births)",,,3.2.2,HKG
"Hong Kong, China","Number of New HIV Infections (per 1,000 uninfected population)",,,3.3.1,HKG
"Hong Kong, China","Tuberculosis Incidence (per 100,000 population)",71,2015,3.3.2,HKG
"Hong Kong, China","Incidence of Malaria (per 1,000 population)",,,3.3.3,HKG
"Hong Kong, China","Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease (%)",,,3.4.1,HKG
"Hong Kong, China","Death Rate due to Road Traffic Injuries (per 100,000 population)",,,3.6.1,HKG
"Hong Kong, China",Proportion of Women Married or in a Union of Reproductive Age (Aged 15-49 years) Who Have Their Need for Family Planning Satisfied with Modern Methods (%),,,3.7.1,HKG
"Hong Kong, China","Adolescent Birthrate (Aged 15-19 Years) per 1,000 Women in That Age Group (%)",2.69,2013,3.7.2,HKG
"Hong Kong, China","Mortality Rate Attributed to Household and Ambient Air Pollution (per 100,000 population)",,,3.9.1,HKG
"Hong Kong, China","Mortality Rate Attributed to Unsafe Water, Unsafe Sanitation, and Lack of Hygiene (per 100,000 population)",,,3.9.2,HKG
"Hong Kong, China","Participation Rate in Organized Learning (1 year before the official primary entry age), Female (%)",98.28,2011,4.2.2,HKG
"Hong Kong, China","Participation Rate in Organized Learning (1 year before the official primary entry age), Male (%)",100,2011,4.2.2,HKG
"Hong Kong, China","Participation Rate in Organized Learning (1 year before the official primary entry age), Total (%)",99.17,2011,4.2.2,HKG
"Hong Kong, China","Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Lower Secondary",,,4.c.1,HKG
"Hong Kong, China","Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Preprimary",,,4.c.1,HKG
"Hong Kong, China","Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Primary",96.17,2015,4.c.1,HKG
"Hong Kong, China","Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Upper Secondary",,,4.c.1,HKG
"Hong Kong, China",Proportion of Seats Held by Women in National Parliaments (%),,,5.5.1,HKG
"Hong Kong, China","Proportion of Population Using Improved Drinking Water Sources, Rural (%)",,,6.1.1,HKG
"Hong Kong, China","Proportion of Population Using Improved Drinking Water Sources, Total (%)",,,6.1.1,HKG
"Hong Kong, China","Proportion of Population Using Improved Drinking Water Sources, Urban (%)",,,6.1.1,HKG
"Hong Kong, China","Proportion of Population Using Improved Sanitation Facilities, Rural (%)",,,6.2.1,HKG
"Hong Kong, China","Proportion of Population Using Improved Sanitation Facilities, Total (%)",,,6.2.1,HKG
"Hong Kong, China","Proportion of Population Using Improved Sanitation Facilities, Urban (%)",,,6.2.1,HKG
"Hong Kong, China",Proportion of Population with Access to Electricity (%),100,2014,7.1.1,HKG
"Hong Kong, China",Renewal Energy Share in the Total Final Energy Consumption (%),1.79,2014,7.2.1,HKG
"Hong Kong, China","Number of ATMs (per 100,000 adults)",49.75,2015,8.10.1,HKG
"Hong Kong, China","Number of Commercial Bank Branches (per 100,000 adults)",22.33,2015,8.10.1,HKG
"Hong Kong, China",Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile-Money-Service Provider (%),97.09,2014,8.10.2,HKG
"Hong Kong, China",Annual Growth Rate of Real GDP per Employed Person (%),1.62,2015,8.2.1,HKG
"Hong Kong, China","Unemployment Rate, Female (%)",3,2016,8.5.2,HKG
"Hong Kong, China","Unemployment Rate, Male (%)",3.7,2016,8.5.2,HKG
"Hong Kong, China","Unemployment Rate, Total (%)",3.4,2016,8.5.2,HKG
"Hong Kong, China","Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Female (%)",6.74,2015,8.6.1,HKG
"Hong Kong, China","Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Male (%)",6.43,2015,8.6.1,HKG
"Hong Kong, China","Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Total (%)",6.6,2015,8.6.1,HKG
"Hong Kong, China","CO2 Emissions, Million Metric Tons",47.94,2014,9.4.1,HKG
"Hong Kong, China","CO2 Emissions, Per Unit of GDP (PPP)",0.13,2014,9.4.1,HKG
"Hong Kong, China",Total Official Flows for Infrastructure (constant 2014 $ million),,,9.a.1,HKG
"Hong Kong, China","Proportion of Population Covered by Mobile Network, 2G (%)",100,2015,9.c.1,HKG
"Hong Kong, China","Proportion of Population Covered by Mobile Network, 3G (%)",99,2015,9.c.1,HKG
"Hong Kong, China","Proportion of Population Covered by Mobile Network, LTE/WiMAX (%)",99,2015,9.c.1,HKG
"Hong Kong, China",Annual Change in Money Supply (%),7.66,2016,,HKG
"Hong Kong, China","Central Government Finance, Expenditures (% of GDP)",18.75,2016,,HKG
"Hong Kong, China","Central Government Finance, Fiscal Balance (% of  GDP)",3.73,2016,,HKG
"Hong Kong, China","Central Government Finance, Revenues (% of GDP)",22.48,2016,,HKG
"Hong Kong, China",Current Account Balance (% of GDP),4.52,2016,,HKG
"Hong Kong, China","External Debt, Total Outstanding (% of GNI)",434.16,2015,,HKG
"Hong Kong, China","External Debt, Total Outstanding ($ million)",1300314.29,2015,,HKG
"Hong Kong, China",Gross Domestic Investment (% of GDP),21.9,2016,,HKG
"Hong Kong, China",Gross Domestic Product (GDP) Annual Growth Rate (%),2.37,2015,,HKG
"Hong Kong, China",Gross Domestic Product (GDP) Annual Growth Rate (%),1.95,2016,,HKG
"Hong Kong, China",Gross International Reserves ($ million),386241,2016,,HKG
"Hong Kong, China",Growth Rate of Merchandise Exports (%),0.16,2016,,HKG
"Hong Kong, China",Growth Rate of Merchandise Imports (%),-0.87,2016,,HKG
"Hong Kong, China",Inflation Rate (%),2.39,2016,,HKG
"Hong Kong, China","Per Capita Gross National Income (GNI), Atlas Method (%)",41000,2015,,HKG
"Hong Kong, China",Trade Balance (% of GDP),-5.46,2016,,HKG
"Hong Kong, China","Value Added, Agriculture Annual Growth Rate (%)",-3.16,2016,,HKG
"Hong Kong, China","Value Added, Industry Annual Growth Rate (%)",1.46,2016,,HKG
"Hong Kong, China","Value Added, Services Annual Growth Rate (%)",2.29,2016,,HKG
India,"Age Dependency Ratio (Number of persons aged <15 and >= 65 to Number of persons aged 15-64 years, %)",52.45,2015,,IND
India,Average Annual Population Growth Rate (%),1.26,2011-2016,,IND
India,Gini Index (%),35.15,2011,,IND
India,"Land, Total Surface Area ('000  km2)",3287.26,,,IND
India,Population Density (persons per km2 of total surface area),395.16,2016,,IND
India,Total Fertility Rate (births per woman),2.4,2015,,IND
India,Total Population (million),1299,2016,,IND
India,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Female (%)",19.67,2012,1.1.1,IND
India,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Male (%)",17.35,2012,1.1.1,IND
India,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Total (%)",17.91,2012,1.1.1,IND
India,Proportion of Population below $1.90 Purchasing Power Parity (%),21.23,2011,1.1.1,IND
India,Proportion of Population Living below the National Poverty Line (%),21.9,2011,1.2.1,IND
India,Growth Rates of Household Expenditure or Income per Capita (%),3.7,2004-2011,10.1.1,IND
India,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population (%),3.2,2004-2011,10.1.1,IND
India,Proportion of Urban Population Living in Slums (%),24,2014,11.1.1,IND
India,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas (migrogram/m3) (%),65.7,2014,11.6.2,IND
India,"Material Footprint, Million Metric Tons",5783.19,2015,12.2.1,IND
India,"Material Footprint, Per Capita",4.51,2015,12.2.1,IND
India,"Domestic Material Consumption, Million Metric Tons",6766.45,2015,12.2.2,IND
India,"Domestic Material Consumption, Per Capita",5.28,2015,12.2.2,IND
India,Coverage of Protected Areas in Relation to Marine Areas (%),4.17,2016,14.5.1,IND
India,Forest Area as a Proportion of Total Land Area (%),23.77,2015,15.1.1,IND
India,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority (%),71.9,2014,16.9.1,IND
India,Volume of Remittances in US Dollars as a Proportion of Total GDP (%),3.3,2015,17.3.2,IND
India,Debt Service as a Percentage of Exports of Goods and Services (%),3.09,2015,17.4.1,IND
India,Fixed Broadband Subscriptions (per 100 inhabitants),1.32,2015,17.6.2,IND
India,Proportion of Individuals Using the Internet (%),26,2015,17.8.1,IND
India,Prevalence of Undernourishment (%),15.2,2014-2016,2.1.1,IND
India,Prevalence of Stunting among Children under 5 Years of Age (%),38.7,2014,2.2.1,IND
India,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age (%),,,2.2.2,IND
India,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age (%),15.1,2014,2.2.2,IND
India,"Maternal Mortality Ratio (per 100,000 live births)",174,2015,3.1.1,IND
India,Proportion of Births Attended by Skilled Health Personnel (%),,,3.1.2,IND
India,"Infant Mortality Rate (per 1,000 live births)",37.9,2015,3.2.1,IND
India,"Under-5 Mortality Rate (per 1,000 live births)",47.7,2015,3.2.1,IND
India,"Neonatal Mortality Rate (per 1,000 live births)",27.7,2015,3.2.2,IND
India,"Number of New HIV Infections (per 1,000 uninfected population)",,,3.3.1,IND
India,"Tuberculosis Incidence (per 100,000 population)",217,2015,3.3.2,IND
India,"Incidence of Malaria (per 1,000 population)",23.73,2013,3.3.3,IND
India,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease (%)",26.25,2012,3.4.1,IND
India,"Death Rate due to Road Traffic Injuries (per 100,000 population)",16.6,2013,3.6.1,IND
India,Proportion of Women Married or in a Union of Reproductive Age (Aged 15-49 years) Who Have Their Need for Family Planning Satisfied with Modern Methods (%),,,3.7.1,IND
India,"Adolescent Birthrate (Aged 15-19 Years) per 1,000 Women in That Age Group (%)",28.13,2013,3.7.2,IND
India,"Mortality Rate Attributed to Household and Ambient Air Pollution (per 100,000 population)",133.7,2012,3.9.1,IND
India,"Mortality Rate Attributed to Unsafe Water, Unsafe Sanitation, and Lack of Hygiene (per 100,000 population)",27.39,2012,3.9.2,IND
India,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female (%)",,,4.2.2,IND
India,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male (%)",,,4.2.2,IND
India,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total (%)",,,4.2.2,IND
India,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Lower Secondary",,,4.c.1,IND
India,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Preprimary",,,4.c.1,IND
India,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Primary",77.25,2014,4.c.1,IND
India,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Upper Secondary",,,4.c.1,IND
India,Proportion of Seats Held by Women in National Parliaments (%),11.8,2016,5.5.1,IND
India,"Proportion of Population Using Improved Drinking Water Sources, Rural (%)",92.65,2015,6.1.1,IND
India,"Proportion of Population Using Improved Drinking Water Sources, Total (%)",94.09,2015,6.1.1,IND
India,"Proportion of Population Using Improved Drinking Water Sources, Urban (%)",97.05,2015,6.1.1,IND
India,"Proportion of Population Using Improved Sanitation Facilities, Rural (%)",28.46,2015,6.2.1,IND
India,"Proportion of Population Using Improved Sanitation Facilities, Total (%)",39.63,2015,6.2.1,IND
India,"Proportion of Population Using Improved Sanitation Facilities, Urban (%)",62.57,2015,6.2.1,IND
India,Proportion of Population with Access to Electricity (%),79.17,2014,7.1.1,IND
India,Renewal Energy Share in the Total Final Energy Consumption (%),36.54,2014,7.2.1,IND
India,"Number of ATMs (per 100,000 adults)",19.71,2015,8.10.1,IND
India,"Number of Commercial Bank Branches (per 100,000 adults)",13.55,2015,8.10.1,IND
India,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile-Money-Service Provider (%),58.59,2014,8.10.2,IND
India,Annual Growth Rate of Real GDP per Employed Person (%),4.17,2015,8.2.1,IND
India,"Unemployment Rate, Female (%)",7.7,2014,8.5.2,IND
India,"Unemployment Rate, Male (%)",4.1,2015,8.5.2,IND
India,"Unemployment Rate, Total (%)",4.9,2015,8.5.2,IND
India,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Female (%)",53.89,2010,8.6.1,IND
India,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Male (%)",3.49,2010,8.6.1,IND
India,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Total (%)",27.18,2010,8.6.1,IND
India,"CO2 Emissions, Million Metric Tons",2019.67,2014,9.4.1,IND
India,"CO2 Emissions, Per Unit of GDP (PPP)",0.29,2014,9.4.1,IND
India,Total Official Flows for Infrastructure (constant 2014 $ million),5283.36,2015,9.a.1,IND
India,"Proportion of Population Covered by Mobile Network, 2G (%)",93.46,2013,9.c.1,IND
India,"Proportion of Population Covered by Mobile Network, 3G (%)",74,2015,9.c.1,IND
India,"Proportion of Population Covered by Mobile Network, LTE/WiMAX (%)",,,9.c.1,IND
India,Annual Change in Money Supply (%),8.42,2016,,IND
India,"Central Government Finance, Expenditures (% of GDP)",27.87,2016,,IND
India,"Central Government Finance, Fiscal Balance (% of  GDP)",-3.5,2016,,IND
India,"Central Government Finance, Revenues (% of GDP)",21.29,2016,,IND
India,Current Account Balance (% of GDP),-1,2016,,IND
India,"External Debt, Total Outstanding (% of GNI)",23.25,2015,,IND
India,"External Debt, Total Outstanding ($ million)",485614,2015,,IND
India,Gross Domestic Investment (% of GDP),29.82,2016,,IND
India,Gross Domestic Product (GDP) Annual Growth Rate (%),7.93,2015,,IND
India,Gross Domestic Product (GDP) Annual Growth Rate (%),7.11,2016,,IND
India,Gross International Reserves ($ million),364109.4,2016,,IND
India,Growth Rate of Merchandise Exports (%),1.1,2016,,IND
India,Growth Rate of Merchandise Imports (%),-5.8,2016,,IND
India,Inflation Rate (%),4.7,2016,,IND
India,"Per Capita Gross National Income (GNI), Atlas Method (%)",1590,2015,,IND
India,Trade Balance (% of GDP),-4.59,2016,,IND
India,"Value Added, Agriculture Annual Growth Rate (%)",4.37,2016,,IND
India,"Value Added, Industry Annual Growth Rate (%)",5.77,2016,,IND
India,"Value Added, Services Annual Growth Rate (%)",7.87,2016,,IND
Indonesia,"Age Dependency Ratio (Number of persons aged <15 and >= 65 to Number of persons aged 15-64 years, %)",48.96,2015,,IDN
Indonesia,Average Annual Population Growth Rate (%),1.34,2011-2016,,IDN
