Regional Economy,Statistic,Value,Unit of Measurement,Year,Sustainable Development Goal,Country Code
Cook Islands,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,,%,2015,2.2.2,COK
Cook Islands,Maternal Mortality Ratio,,"per 100,000 live births",2015,3.1.1,COK
Cook Islands,Under-5 Mortality Rate,8,"per 1,000 live births",2016,3.2.1,COK
Cook Islands,Neonatal Mortality Rate,4,"per 1,000 live births",2016,3.2.2,COK
Cook Islands,Tuberculosis Incidence,13,"per 100,000 population",2016,3.3.2,COK
Cook Islands,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",,%,2015,3.4.1,COK
Cook Islands,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female",100,%,2016,4.2.2,COK
Cook Islands,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male",98.3,%,2016,4.2.2,COK
Cook Islands,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total",99.1,%,2016,4.2.2,COK
Cook Islands,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Lower Secondary",,%,2016,4.c.1,COK
Cook Islands,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Preprimary",78.1,%,2016,4.c.1,COK
Cook Islands,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Primary",95.3,%,2016,4.c.1,COK
Cook Islands,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Upper Secondary",,%,2016,4.c.1,COK
Cook Islands,Proportion of Seats Held by Women in National Parliaments,17,%,2014,5.5.1,COK
Cook Islands,"Proportion of Population Using Safely Managed Drinking Water Services, Rural",,%,2015,6.1.1,COK
Cook Islands,"Proportion of Population Using Safely Managed Drinking Water Services, Total",,%,2015,6.1.1,COK
Cook Islands,"Proportion of Population Using Safely Managed Drinking Water Services, Urban",,%,2015,6.1.1,COK
Cook Islands,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Rural",,%,2015,6.2.1,COK
Cook Islands,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Total",,%,2015,6.2.1,COK
Cook Islands,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Urban",,%,2015,6.2.1,COK
Cook Islands,Proportion of Population with Access to Electricity,,%,2016,7.1.1,COK
Cook Islands,Renewable Energy Share in the Total Final Energy Consumption,,%,2015,7.2.1,COK
Cook Islands,Number of ATMs,,"per 100,000 adults",2016,8.10.1,COK
Cook Islands,Number of Commercial Bank Branches,,"per 100,000 adults",2016,8.10.1,COK
Cook Islands,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile-Money-Service Provider,,%,2017,8.10.2,COK
Cook Islands,Annual Growth Rate of Real GDP per Employed Person,,%,2016,8.2.1,COK
Cook Islands,"Unemployment Rate, Female",,%,2016,8.5.2,COK
Cook Islands,"Unemployment Rate, Male",,%,2016,8.5.2,COK
Cook Islands,"Unemployment Rate, Total",,%,2016,8.5.2,COK
Cook Islands,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Female",,%,2016,8.6.1,COK
Cook Islands,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Male",,%,2016,8.6.1,COK
Cook Islands,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Total",,%,2016,8.6.1,COK
Cook Islands,"CO2 Emissions, Million Metric Tons",,,,9.4.1,COK
Cook Islands,"CO2 Emissions, Per Unit of GDP (PPP)",,,,9.4.1,COK
Cook Islands,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",0.1,"disbursements, constant 2015, $ million",2016,9.a.1,COK
Cook Islands,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",0.4,"disbursements, constant 2015, $ million",2016,9.a.1,COK
Cook Islands,"Proportion of Population Covered by Mobile Network, 2G",,%,2016,9.c.1,COK
Cook Islands,"Proportion of Population Covered by Mobile Network, 3G",40.1,%,2016,9.c.1,COK
Cook Islands,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",,%,2016,9.c.1,COK
Cook Islands,Age Dependency Ratio,66,% of working-age population,2015,,COK
Cook Islands,Annual Change in Money Supply,12.3,%,2017,,COK
Cook Islands,Annual Growth Rate of Gross Domestic Product (GDP),8.8,%,2016,,COK
Cook Islands,Annual Growth Rate of Gross Domestic Product (GDP),3.5,%,2017,,COK
Cook Islands,"Annual Real Growth Rates on Value Added, Agriculture",-4.3,%,2017,,COK
Cook Islands,"Annual Real Growth Rates on Value Added, Industry",6.8,%,2017,,COK
Cook Islands,"Annual Real Growth Rates on Value Added, Services",5.1,%,2017,,COK
Cook Islands,Average Annual Population Growth Rate,0,%,2012-2017,,COK
Cook Islands,"Central Government Finance, Expenditure",37.7,% of GDP,2017,,COK
Cook Islands,"Central Government Finance, Fiscal Balance",7.3,% of GDP,2017,,COK
Cook Islands,"Central Government Finance, Revenue",45,% of GDP,2017,,COK
Cook Islands,Current Account Balance,25.5,% of GDP,2017,,COK
Cook Islands,"External Debt, Total Outstanding",,% of GNI,2016,,COK
Cook Islands,"External Debt, Total Outstanding",77,$ million,2016,,COK
Cook Islands,Gross Domestic Investment,,% of GDP,2017,,COK
Cook Islands,Gross International Reserves,  ,$ million,2017,,COK
Cook Islands,Growth Rate of Merchandise Exports,-16.4,%,2017,,COK
Cook Islands,Growth Rate of Merchandise Imports,9.3,%,2017,,COK
Cook Islands,Inflation Rate,-0.1,%,2017,,COK
Cook Islands,"Land, Total Surface Area",0.24,",000  km2",,,COK
Cook Islands,"Per Capita Gross National Income (GNI), Atlas Method",  ,$,2016,,COK
Cook Islands,Population Density,81,persons per km2 of surface area,2017,,COK
Cook Islands,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,,%,2016,,COK
Cook Islands,Proportion of Population Living below the National Poverty Line,,%,2016,,COK
Cook Islands,Total Fertility Rate,2.2,births per woman,2017,,COK
Cook Islands,Total Population,0.02,million,2017,,COK
Cook Islands,Trade Balance,-34.5,% of GDP,2017,,COK
Fiji,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Female",1.3,%,2017,1.1.1,FJI
Fiji,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Male",1.2,%,2017,1.1.1,FJI
Fiji,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Total",1.2,%,2017,1.1.1,FJI
Fiji,Growth Rates of Household Expenditure or Income per Capita,-0.9,%,2008-2013,10.1.1,FJI
Fiji,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,1,%,2008-2013,10.1.1,FJI
Fiji,Proportion of Urban Population Living in Slums,,%,2014,11.1.1,FJI
Fiji,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas,6,migrogram/m3,2014,11.6.2,FJI
Fiji,"Material Footprint, Million Metric Tons ",5.7,,2015,12.2.1,FJI
Fiji,"Material Footprint, Per Capita ",6.4,,2015,12.2.1,FJI
Fiji,"Domestic Material Consumption, Million Metric Tons",6.9,,2015,12.2.2,FJI
Fiji,"Domestic Material Consumption, Per Capita",7.7,,2015,12.2.2,FJI
Fiji,Coverage of Protected Areas in Relation to Marine Areas,0.9,%,2016,14.5.1,FJI
Fiji,Forest Area as a Proportion of Total Land Area,55.7,%,2015,15.1.1,FJI
Fiji,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,,%,2014,16.9.1,FJI
Fiji,Volume of Remittances in US Dollars as a Proportion of Total GDP,1.7,%,2016,17.3.2,FJI
Fiji,Debt Service as a Percentage of Exports of Goods and Services,5.6,%,2016,17.4.1,FJI
Fiji,Prevalence of Undernourishment,4.6,%,2014-2016,2.1.1,FJI
Fiji,Prevalence of Stunting among Children under 5 Years of Age,,%,2015,2.1.1,FJI
Fiji,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,,%,2015,2.2.2,FJI
Fiji,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,,%,2015,2.2.2,FJI
Fiji,Maternal Mortality Ratio,30,"per 100,000 live births",2015,3.1.1,FJI
Fiji,Under-5 Mortality Rate,22,"per 1,000 live births",2016,3.2.1,FJI
Fiji,Neonatal Mortality Rate,9,"per 1,000 live births",2016,3.2.2,FJI
Fiji,Tuberculosis Incidence,59,"per 100,000 population",2016,3.3.2,FJI
Fiji,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",31.4,%,2015,3.4.1,FJI
Fiji,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female",,%,2016,4.2.2,FJI
Fiji,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male",,%,2016,4.2.2,FJI
Fiji,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total",,%,2016,4.2.2,FJI
Fiji,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Lower Secondary",100,%,2012,4.c.1,FJI
Fiji,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Preprimary",,%,2016,4.c.1,FJI
Fiji,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Primary",100,%,2012,4.c.1,FJI
Fiji,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Upper Secondary",100,%,2012,4.c.1,FJI
Fiji,Proportion of Seats Held by Women in National Parliaments,16,%,2017,5.5.1,FJI
Fiji,"Proportion of Population Using Safely Managed Drinking Water Services, Rural",,%,2015,6.1.1,FJI
Fiji,"Proportion of Population Using Safely Managed Drinking Water Services, Total",,%,2015,6.1.1,FJI
Fiji,"Proportion of Population Using Safely Managed Drinking Water Services, Urban",,%,2015,6.1.1,FJI
Fiji,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Rural",,%,2015,6.2.1,FJI
Fiji,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Total",,%,2015,6.2.1,FJI
Fiji,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Urban",,%,2015,6.2.1,FJI
Fiji,Proportion of Population with Access to Electricity,98.6,%,2016,7.1.1,FJI
Fiji,Renewable Energy Share in the Total Final Energy Consumption,31.3,%,2015,7.2.1,FJI
Fiji,Number of ATMs,50.8,"per 100,000 adults",2016,8.10.1,FJI
Fiji,Number of Commercial Bank Branches,11.8,"per 100,000 adults",2016,8.10.1,FJI
Fiji,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile-Money-Service Provider,,%,2017,8.10.2,FJI
Fiji,Annual Growth Rate of Real GDP per Employed Person,1.5,%,2016,8.2.1,FJI
Fiji,"Unemployment Rate, Female",8.6,%,2016,8.5.2,FJI
Fiji,"Unemployment Rate, Male",5,%,2016,8.5.2,FJI
Fiji,"Unemployment Rate, Total",6.2,%,2016,8.5.2,FJI
Fiji,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Female",29.6,%,2016,8.6.1,FJI
Fiji,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Male",10.8,%,2016,8.6.1,FJI
Fiji,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Total",20.1,%,2016,8.6.1,FJI
Fiji,"CO2 Emissions, Million Metric Tons",,,,9.4.1,FJI
Fiji,"CO2 Emissions, Per Unit of GDP (PPP)",,,,9.4.1,FJI
Fiji,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",6.3,"disbursements, constant 2015, $ million",2016,9.a.1,FJI
Fiji,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",0.7,"disbursements, constant 2015, $ million",2016,9.a.1,FJI
Fiji,"Proportion of Population Covered by Mobile Network, 2G",88,%,2015,9.c.1,FJI
Fiji,"Proportion of Population Covered by Mobile Network, 3G",96,%,2016,9.c.1,FJI
Fiji,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",90,%,2016,9.c.1,FJI
Fiji,Age Dependency Ratio,53,% of working-age population,2016,,FJI
Fiji,Annual Change in Money Supply,6.3,%,2016,,FJI
Fiji,Annual Growth Rate of Gross Domestic Product (GDP),0.4,%,2016,,FJI
Fiji,Annual Growth Rate of Gross Domestic Product (GDP),3.9,%,2017,,FJI
Fiji,"Annual Real Growth Rates on Value Added, Agriculture",4.7,%,2017,,FJI
Fiji,"Annual Real Growth Rates on Value Added, Industry",3.5,%,2017,,FJI
Fiji,"Annual Real Growth Rates on Value Added, Services",3.9,%,2017,,FJI
Fiji,Average Annual Population Growth Rate,0.6,%,2012-2017,,FJI
Fiji,"Central Government Finance, Expenditure",26.6,% of GDP,2017,,FJI
Fiji,"Central Government Finance, Fiscal Balance",-2.3,% of GDP,2017,,FJI
Fiji,"Central Government Finance, Revenue",27,% of GDP,2017,,FJI
Fiji,Current Account Balance,-5.2,% of GDP,2017,,FJI
Fiji,"External Debt, Total Outstanding",14.1,% of GNI,2016,,FJI
Fiji,"External Debt, Total Outstanding",604,$ million,2016,,FJI
Fiji,Gross Domestic Investment,16.3,% of GDP,2015,,FJI
Fiji,Gross International Reserves,2138,$ million,2017,,FJI
Fiji,Growth Rate of Merchandise Exports,9.7,%,2017,,FJI
Fiji,Growth Rate of Merchandise Imports,8.9,%,2017,,FJI
Fiji,Inflation Rate,3.3,%,2017,,FJI
Fiji,"Land, Total Surface Area",18.27,",000  km2",,,FJI
Fiji,"Per Capita Gross National Income (GNI), Atlas Method",4780,$,2016,,FJI
Fiji,Population Density,48,persons per km2 of surface area,2017,,FJI
Fiji,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,1.4,%,2013,,FJI
Fiji,Proportion of Population Living below the National Poverty Line,28,%,2013,,FJI
Fiji,Total Fertility Rate,2.5,births per woman,2016,,FJI
Fiji,Total Population,0.88,million,2017,,FJI
Fiji,Trade Balance,-21.7,% of GDP,2017,,FJI
Georgia,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Female",4,%,2017,1.1.1,GEO
Georgia,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Male",6.8,%,2017,1.1.1,GEO
Georgia,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Total",5.5,%,2017,1.1.1,GEO
Georgia,Growth Rates of Household Expenditure or Income per Capita,4.3,%,2011-2016,10.1.1,GEO
Georgia,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,6.4,%,2011-2016,10.1.1,GEO
Georgia,Proportion of Urban Population Living in Slums,,%,2014,11.1.1,GEO
Georgia,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas,23,migrogram/m3,2014,11.6.2,GEO
Georgia,"Material Footprint, Million Metric Tons ",29.7,,2010,12.2.1,GEO
Georgia,"Material Footprint, Per Capita ",6.8,,2010,12.2.1,GEO
Georgia,"Domestic Material Consumption, Million Metric Tons",21.5,,2010,12.2.2,GEO
Georgia,"Domestic Material Consumption, Per Capita",4.9,,2010,12.2.2,GEO
Georgia,Coverage of Protected Areas in Relation to Marine Areas,0.7,%,2016,14.5.1,GEO
Georgia,Forest Area as a Proportion of Total Land Area,40.6,%,2015,15.1.1,GEO
Georgia,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,99.6,%,2015,16.9.1,GEO
Georgia,Volume of Remittances in US Dollars as a Proportion of Total GDP,10.6,%,2016,17.3.2,GEO
Georgia,Debt Service as a Percentage of Exports of Goods and Services,6.9,%,2016,17.4.1,GEO
Georgia,Prevalence of Undernourishment,7,%,2014-2016,2.1.1,GEO
Georgia,Prevalence of Stunting among Children under 5 Years of Age,,%,2015,2.1.1,GEO
Georgia,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,,%,2015,2.2.2,GEO
Georgia,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,,%,2015,2.2.2,GEO
Georgia,Maternal Mortality Ratio,36,"per 100,000 live births",2015,3.1.1,GEO
Georgia,Under-5 Mortality Rate,11,"per 1,000 live births",2016,3.2.1,GEO
Georgia,Neonatal Mortality Rate,7,"per 1,000 live births",2016,3.2.2,GEO
Georgia,Tuberculosis Incidence,92,"per 100,000 population",2016,3.3.2,GEO
Georgia,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",22.2,%,2015,3.4.1,GEO
Georgia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female",,%,2016,4.2.2,GEO
Georgia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male",,%,2016,4.2.2,GEO
Georgia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total",,%,2016,4.2.2,GEO
Georgia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Lower Secondary",,%,2016,4.c.1,GEO
Georgia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Preprimary",,%,2016,4.c.1,GEO
Georgia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Primary",,%,2016,4.c.1,GEO
Georgia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Upper Secondary",,%,2016,4.c.1,GEO
Georgia,Proportion of Seats Held by Women in National Parliaments,16,%,2017,5.5.1,GEO
Georgia,"Proportion of Population Using Safely Managed Drinking Water Services, Rural",,%,2015,6.1.1,GEO
Georgia,"Proportion of Population Using Safely Managed Drinking Water Services, Total",73,%,2015,6.1.1,GEO
Georgia,"Proportion of Population Using Safely Managed Drinking Water Services, Urban",,%,2015,6.1.1,GEO
Georgia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Rural",,%,2015,6.2.1,GEO
Georgia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Total",,%,2015,6.2.1,GEO
Georgia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Urban",17,%,2015,6.2.1,GEO
Georgia,Proportion of Population with Access to Electricity,100,%,2016,7.1.1,GEO
Georgia,Renewable Energy Share in the Total Final Energy Consumption,28.7,%,2015,7.2.1,GEO
Georgia,Number of ATMs,74.3,"per 100,000 adults",2016,8.10.1,GEO
Georgia,Number of Commercial Bank Branches,32.7,"per 100,000 adults",2016,8.10.1,GEO
Georgia,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile-Money-Service Provider,61.2,%,2017,8.10.2,GEO
Georgia,Annual Growth Rate of Real GDP per Employed Person,3.4,%,2016,8.2.1,GEO
Georgia,"Unemployment Rate, Female",8.9,%,2016,8.5.2,GEO
Georgia,"Unemployment Rate, Male",14.2,%,2016,8.5.2,GEO
Georgia,"Unemployment Rate, Total",11.8,%,2016,8.5.2,GEO
Georgia,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Female",,%,2016,8.6.1,GEO
Georgia,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Male",,%,2016,8.6.1,GEO
Georgia,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Total",,%,2016,8.6.1,GEO
Georgia,"CO2 Emissions, Million Metric Tons",8.4,,2015,9.4.1,GEO
Georgia,"CO2 Emissions, Per Unit of GDP (PPP)",0.3,,2015,9.4.1,GEO
Georgia,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",173.7,"disbursements, constant 2015, $ million",2016,9.a.1,GEO
Georgia,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",523.4,"disbursements, constant 2015, $ million",2016,9.a.1,GEO
Georgia,"Proportion of Population Covered by Mobile Network, 2G",99.9,%,2016,9.c.1,GEO
Georgia,"Proportion of Population Covered by Mobile Network, 3G",99.9,%,2016,9.c.1,GEO
Georgia,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",92,%,2016,9.c.1,GEO
Georgia,Age Dependency Ratio,51,% of working-age population,2016,,GEO
Georgia,Annual Change in Money Supply,14.8,%,2017,,GEO
Georgia,Annual Growth Rate of Gross Domestic Product (GDP),2.8,%,2016,,GEO
Georgia,Annual Growth Rate of Gross Domestic Product (GDP),5,%,2017,,GEO
Georgia,"Annual Real Growth Rates on Value Added, Agriculture",-2.7,%,2017,,GEO
Georgia,"Annual Real Growth Rates on Value Added, Industry",5.6,%,2017,,GEO
Georgia,"Annual Real Growth Rates on Value Added, Services",5.5,%,2017,,GEO
Georgia,Average Annual Population Growth Rate,-3.7,%,2012-2017,,GEO
Georgia,"Central Government Finance, Expenditure",29.6,% of GDP,2017,,GEO
Georgia,"Central Government Finance, Fiscal Balance",-0.9,% of GDP,2017,,GEO
Georgia,"Central Government Finance, Revenue",28.7,% of GDP,2017,,GEO
Georgia,Current Account Balance,-9,% of GDP,2017,,GEO
Georgia,"External Debt, Total Outstanding",92.9,% of GNI,2016,,GEO
Georgia,"External Debt, Total Outstanding",13246,$ million,2016,,GEO
Georgia,Gross Domestic Investment,29.9,% of GDP,2017,,GEO
Georgia,Gross International Reserves,3100,$ million,2017,,GEO
Georgia,Growth Rate of Merchandise Exports,18.8,%,2017,,GEO
Georgia,Growth Rate of Merchandise Imports,8.7,%,2017,,GEO
Georgia,Inflation Rate,6,%,2017,,GEO
Georgia,"Land, Total Surface Area",69.7,",000  km2",,,GEO
Georgia,"Per Capita Gross National Income (GNI), Atlas Method",3830,$,2016,,GEO
Georgia,Population Density,53,persons per km2 of surface area,2017,,GEO
Georgia,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,4.2,%,2016,,GEO
Georgia,Proportion of Population Living below the National Poverty Line,21.3,%,2016,,GEO
Georgia,Total Fertility Rate,2,births per woman,2016,,GEO
Georgia,Total Population,3.72,million,2017,,GEO
Georgia,Trade Balance,-25.8,% of GDP,2017,,GEO
"Hong Kong, China","Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Female",,%,2017,1.1.1,HKG
"Hong Kong, China","Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Male",,%,2017,1.1.1,HKG
"Hong Kong, China","Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Total",,%,2017,1.1.1,HKG
"Hong Kong, China",Growth Rates of Household Expenditure or Income per Capita,,%,,10.1.1,HKG
"Hong Kong, China",Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,%,,10.1.1,HKG
"Hong Kong, China",Proportion of Urban Population Living in Slums,,%,2014,11.1.1,HKG
"Hong Kong, China",Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas,35,migrogram/m3,2016,11.6.2,HKG
"Hong Kong, China","Material Footprint, Million Metric Tons ",847,,2010,12.2.1,HKG
"Hong Kong, China","Material Footprint, Per Capita ",120.1,,2010,12.2.1,HKG
"Hong Kong, China","Domestic Material Consumption, Million Metric Tons",54.6,,2010,12.2.2,HKG
"Hong Kong, China","Domestic Material Consumption, Per Capita",7.7,,2010,12.2.2,HKG
"Hong Kong, China",Coverage of Protected Areas in Relation to Marine Areas,,%,2016,14.5.1,HKG
"Hong Kong, China",Forest Area as a Proportion of Total Land Area,,%,2015,15.1.1,HKG
"Hong Kong, China",Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,,%,2014,16.9.1,HKG
"Hong Kong, China",Volume of Remittances in US Dollars as a Proportion of Total GDP,0.1,%,2016,17.3.2,HKG
"Hong Kong, China",Debt Service as a Percentage of Exports of Goods and Services,,%,2016,17.4.1,HKG
"Hong Kong, China",Prevalence of Undernourishment,<2.5,%,2014-2016,2.1.1,HKG
"Hong Kong, China",Prevalence of Stunting among Children under 5 Years of Age,,%,2015,2.1.1,HKG
"Hong Kong, China",Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,,%,2015,2.2.2,HKG
"Hong Kong, China",Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,,%,2015,2.2.2,HKG
"Hong Kong, China",Maternal Mortality Ratio,,"per 100,000 live births",2016,3.1.1,HKG
"Hong Kong, China",Under-5 Mortality Rate,,"per 1,000 live births",2016,3.2.1,HKG
"Hong Kong, China",Neonatal Mortality Rate,,"per 1,000 live births",2016,3.2.2,HKG
"Hong Kong, China",Tuberculosis Incidence,69,"per 100,000 population",2016,3.3.2,HKG
"Hong Kong, China","Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",,%,2015,3.4.1,HKG
"Hong Kong, China","Participation Rate in Organized Learning (1 year before the official primary entry age), Female",99.8,%,2016,4.2.2,HKG
"Hong Kong, China","Participation Rate in Organized Learning (1 year before the official primary entry age), Male",100,%,2016,4.2.2,HKG
"Hong Kong, China","Participation Rate in Organized Learning (1 year before the official primary entry age), Total",99.9,%,2016,4.2.2,HKG
"Hong Kong, China","Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Lower Secondary",,%,2016,4.c.1,HKG
"Hong Kong, China","Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Preprimary",,%,2016,4.c.1,HKG
"Hong Kong, China","Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Primary",96.6,%,2016,4.c.1,HKG
"Hong Kong, China","Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Upper Secondary",,%,2016,4.c.1,HKG
"Hong Kong, China",Proportion of Seats Held by Women in National Parliaments,,%,2017,5.5.1,HKG
"Hong Kong, China","Proportion of Population Using Safely Managed Drinking Water Services, Rural",,%,2015,6.1.1,HKG
"Hong Kong, China","Proportion of Population Using Safely Managed Drinking Water Services, Total",100,%,2015,6.1.1,HKG
"Hong Kong, China","Proportion of Population Using Safely Managed Drinking Water Services, Urban",100,%,2015,6.1.1,HKG
"Hong Kong, China","Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Rural",,%,2015,6.2.1,HKG
"Hong Kong, China","Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Total",16.2,%,2015,6.2.1,HKG
"Hong Kong, China","Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Urban",16.2,%,2015,6.2.1,HKG
"Hong Kong, China",Proportion of Population with Access to Electricity,100,%,2016,7.1.1,HKG
"Hong Kong, China",Renewable Energy Share in the Total Final Energy Consumption,0.9,%,2015,7.2.1,HKG
"Hong Kong, China",Number of ATMs,50.6,"per 100,000 adults",2016,8.10.1,HKG
"Hong Kong, China",Number of Commercial Bank Branches,21.4,"per 100,000 adults",2016,8.10.1,HKG
"Hong Kong, China",Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile-Money-Service Provider,95.3,%,2017,8.10.2,HKG
"Hong Kong, China",Annual Growth Rate of Real GDP per Employed Person,1.8,%,2016,8.2.1,HKG
"Hong Kong, China","Unemployment Rate, Female",3.1,%,2015,8.5.2,HKG
"Hong Kong, China","Unemployment Rate, Male",3.4,%,2015,8.5.2,HKG
"Hong Kong, China","Unemployment Rate, Total",3.3,%,2015,8.5.2,HKG
"Hong Kong, China","Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Female",5.9,%,2016,8.6.1,HKG
"Hong Kong, China","Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Male",6.3,%,2016,8.6.1,HKG
"Hong Kong, China","Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Total",6.1,%,2016,8.6.1,HKG
"Hong Kong, China","CO2 Emissions, Million Metric Tons",43.9,,2015,9.4.1,HKG
"Hong Kong, China","CO2 Emissions, Per Unit of GDP (PPP)",0.1,,2015,9.4.1,HKG
