Regional Economy,Statistic,Value,Footnote,Year,Unit of Measurement,Sustainable Development Goal,ADB Code
"Hong Kong, China",Proportion of Seats Held by Women in National Parliaments,17.1,4,2016,%,5.5.1,HKG
"Hong Kong, China","Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary",…,,2019,%,4.c.1,HKG
"Hong Kong, China","Proportion of Teachers with the Minimum Required Qualifications, Preprimary",96.5,,2019,%,4.c.1,HKG
"Hong Kong, China","Proportion of Teachers with the Minimum Required Qualifications, Primary",96,,2019,%,4.c.1,HKG
"Hong Kong, China","Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary",…,,2019,%,4.c.1,HKG
"Hong Kong, China",Renewable Energy Share in the Total Final Energy Consumption,0.2,,2018,%,7.2.1,HKG
"Hong Kong, China",Surface Area,1.1,,2018,'000  km2,,HKG
"Hong Kong, China",Total Fertility Rate,1.1,7,2019,births per woman,,HKG
"Hong Kong, China","Total Official Flows for Infrastructure, Official Development Assistance (ODA)",…,,2019,"disbursements, constant 2018, $ million",9.a.1,HKG
"Hong Kong, China","Total Official Flows for Infrastructure, Other Official Flows (OOF)",…,,2019,"disbursements, constant 2018, $ million",9.a.1,HKG
"Hong Kong, China","Total Outstanding, External Debt",1783421.2,,2020,$ million,,HKG
"Hong Kong, China","Total Outstanding, External Debt",437.1,,2019,% of GNI,,HKG
"Hong Kong, China",Total Population,7.5,,2000,million,,HKG
"Hong Kong, China",Trade Balance,-1.7,,2020,% of GDP,,HKG
"Hong Kong, China",Tuberculosis Incidence,63,,2019,"per 100,000 population",3.3.2,HKG
"Hong Kong, China",Under-5 Mortality Rate,1.9,,2019,"per 1,000 live births",3.2.1,HKG
"Hong Kong, China","Unemployment Rate, by Sex, Female",2.4,,2019,%,8.5.2,HKG
"Hong Kong, China","Unemployment Rate, by Sex, Male",3.6,,2019,%,8.5.2,HKG
"Hong Kong, China","Unemployment Rate, by Sex, Total",5.8,,2020,%,8.5.2,HKG
"Hong Kong, China",Volume of Remittances in United States Dollars as a Proportion of Total GDP,0.1,,2019,%,17.3.2,HKG
India,Age Dependency Ratio,48.7,,2020,% of working-age population,,IND
India,Annual Change in Money Supply,12.4,,2020,%,,IND
India,Annual Growth Rate of GDP,-8,*,2020,%,,IND
India,Annual Growth Rate of Real GDP per Employed Person,3.5,,2019,%,8.2.1,IND
India,"Annual Real Growth Rates on Value Added, Agriculture",3,*,2020,%,,IND
India,"Annual Real Growth Rates on Value Added, Industry",-8.2,*,2020,%,,IND
India,"Annual Real Growth Rates on Value Added, Services",-8.1,*,2020,%,,IND
India,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,68,,2016,μg/m3,11.6.2,IND
India,Average Annual Population Growth Rate,1.1,,2015-2020,%,,IND
India,CO2 Emissions,2309.1,7,2019,Million Metric Tons,9.4.1,IND
India,CO2 Emissions,0.2,,2018,Per Unit of GDP (PPP),9.4.1,IND
India,Coverage of Protected Areas in Relation to Marine Areas,0.2,,2020,%,14.5.1,IND
India,Current Account Balance,1,*,2020,% of GDP,,IND
India,Debt Service as a Percentage of Exports of Goods and Services,2.9,,2019,%,17.4.1,IND
India,Domestic Material Consumption,7417.2,,2017,Million Metric Tons,12.2.2,IND
India,Domestic Material Consumption,5.5,,2017,Per Capita,12.2.2,IND
India,Forest Area as a Proportion of Total Land Area,24.3,,2020,%,15.1.1,IND
India,"Government Finance, Expenditure",17.7,*,2020,% of  GDP,,IND
India,"Government Finance, Fiscal Balance",-9.5,*,2020,% of  GDP,,IND
India,"Government Finance, Revenue",8.2,*,2020,% of  GDP,,IND
India,Gross Domestic Investment,32.2,7,2019,% of GDP,,IND
India,Gross International Reserves,585324,,2020,$ million,,IND
India,Growth Rate of Merchandise Exports,-11.9,,2020,%,,IND
India,Growth Rate of Merchandise Imports,-20.7,,2020,%,,IND
India,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,IND
India,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,10.1.1,IND
India,Inflation Rate,6.2,,2020,%,,IND
India,Material Footprint,6162,,2017,Million Metric Tons,12.2.1,IND
India,Material Footprint,4.6,,2017,Per Capita,12.2.1,IND
India,Maternal Mortality Ratio,145,,2017,"per 100,000 live births",3.1.1,IND
India,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",21.9,,2019,%,3.4.1,IND
India,Neonatal Mortality Rate,21.7,,2019,"per 1,000 live births",3.2.2,IND
India,Nominal Gross Domestic Product,2639.6,*,2020,$ billion,,IND
India,Number of ATMs,21,,2019,"per 100,000 adults",8.10.1,IND
India,Number of Commercial Bank Branches,14.6,,2019,"per 100,000 adults",8.10.1,IND
India,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female",…,,2019,%,4.2.2,IND
India,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male",…,,2019,%,4.2.2,IND
India,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total",…,,2019,%,4.2.2,IND
India,"Per Capita Gross National Income (GNI), Atlas Method",2120,,2019,$,,IND
India,Population Density,412,,2020,persons per km2 of surface area,,IND
India,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,1.6,5,2017,%,2.2.1,IND
India,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,17.3,5,2017,%,2.2.1,IND
India,Prevalence of Stunting among Children under 5 Years of Age,34.7,5,2017,%,2.2.1,IND
India,Prevalence of Undernourishment,14,,2017-2019,%,2.1.1,IND
India,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,79.9,,2017,%,8.10.2,IND
India,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,79.7,4,2016,%,16.9.1,IND
India,"Proportion of Employed Population below $1.90 PPP a Day, Female",8.6,,2019,%,1.1.1,IND
India,"Proportion of Employed Population below $1.90 PPP a Day, Male",7.4,,2019,%,1.1.1,IND
India,"Proportion of Employed Population below $1.90 PPP a Day, Total",7.7,,2019,%,1.1.1,IND
India,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,…,,2018,%,,IND
India,"Proportion of Population Covered by Mobile Network, 2G",99.1,,2019,%,9.c.1,IND
India,"Proportion of Population Covered by Mobile Network, 3G",98.2,,2019,%,9.c.1,IND
India,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",97.9,,2019,%,9.c.1,IND
India,Proportion of Population Living below the National Poverty Line,…,,2019,%,,IND
India,"Proportion of Population Using Safely Managed Drinking Water Services, Rural",56,,2017,%,6.1.1,IND
India,"Proportion of Population Using Safely Managed Drinking Water Services, Total",…,,2017,%,6.1.1,IND
India,"Proportion of Population Using Safely Managed Drinking Water Services, Urban",…,,2017,%,6.1.1,IND
India,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Rural",39,,2017,%,6.2.1,IND
India,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Total",…,,2017,%,6.2.1,IND
India,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Urban",…,,2017,%,6.2.1,IND
India,Proportion of Population with Access to Electricity,97,,2019,%,7.1.1,IND
India,Proportion of Seats Held by Women in National Parliaments,14.4,,2020,%,5.5.1,IND
India,"Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary",75,,2019,%,4.c.1,IND
India,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary",…,,2019,%,4.c.1,IND
India,"Proportion of Teachers with the Minimum Required Qualifications, Primary",73.1,,2019,%,4.c.1,IND
India,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary",76.2,,2019,%,4.c.1,IND
India,Renewable Energy Share in the Total Final Energy Consumption,31.7,,2018,%,7.2.1,IND
India,Surface Area,3287.3,,2018,'000  km2,,IND
India,Total Fertility Rate,2.2,,2018,births per woman,,IND
India,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",3403.4,,2019,"disbursements, constant 2018, $ million",9.a.1,IND
India,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",3971,,2019,"disbursements, constant 2018, $ million",9.a.1,IND
India,"Total Outstanding, External Debt",563500,,2020,$ million,,IND
India,"Total Outstanding, External Debt",19.3,,2019,% of GNI,,IND
India,Total Population,1355,,2000,million,,IND
India,Trade Balance,-3.7,*,2020,% of GDP,,IND
India,Tuberculosis Incidence,193,,2019,"per 100,000 population",3.3.2,IND
India,Under-5 Mortality Rate,34.3,,2019,"per 1,000 live births",3.2.1,IND
India,"Unemployment Rate, by Sex, Female",5.2,,2019,%,8.5.2,IND
India,"Unemployment Rate, by Sex, Male",5.3,,2019,%,8.5.2,IND
India,"Unemployment Rate, by Sex, Total",7.1,,2020,%,8.5.2,IND
India,Volume of Remittances in United States Dollars as a Proportion of Total GDP,2.9,,2019,%,17.3.2,IND
Indonesia,Age Dependency Ratio,47.5,,2020,% of working-age population,,INO
Indonesia,Annual Change in Money Supply,12.4,,2020,%,,INO
Indonesia,Annual Growth Rate of GDP,-2.1,,2020,%,,INO
Indonesia,Annual Growth Rate of Real GDP per Employed Person,1.7,,2019,%,8.2.1,INO
Indonesia,"Annual Real Growth Rates on Value Added, Agriculture",1.8,,2020,%,,INO
Indonesia,"Annual Real Growth Rates on Value Added, Industry",-2.8,,2020,%,,INO
Indonesia,"Annual Real Growth Rates on Value Added, Services",-1.4,,2020,%,,INO
Indonesia,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,16.4,,2016,μg/m3,11.6.2,INO
Indonesia,Average Annual Population Growth Rate,1.1,,2015-2020,%,,INO
Indonesia,CO2 Emissions,542.9,,2018,Million Metric Tons,9.4.1,INO
Indonesia,CO2 Emissions,0.2,,2018,Per Unit of GDP (PPP),9.4.1,INO
Indonesia,Coverage of Protected Areas in Relation to Marine Areas,3.1,,2020,%,14.5.1,INO
Indonesia,Current Account Balance,-0.4,,2020,% of GDP,,INO
Indonesia,Debt Service as a Percentage of Exports of Goods and Services,10.2,,2019,%,17.4.1,INO
Indonesia,Domestic Material Consumption,1974.2,,2017,Million Metric Tons,12.2.2,INO
Indonesia,Domestic Material Consumption,7.5,,2017,Per Capita,12.2.2,INO
Indonesia,Forest Area as a Proportion of Total Land Area,49.1,,2020,%,15.1.1,INO
Indonesia,"Government Finance, Expenditure",16.8,,2020,% of  GDP,,INO
Indonesia,"Government Finance, Fiscal Balance",-6.2,,2020,% of  GDP,,INO
Indonesia,"Government Finance, Revenue",10.6,,2020,% of  GDP,,INO
Indonesia,Gross Domestic Investment,32.4,,2020,% of GDP,,INO
Indonesia,Gross International Reserves,135896.7,,2020,$ million,,INO
Indonesia,Growth Rate of Merchandise Exports,-3,,2020,%,,INO
Indonesia,Growth Rate of Merchandise Imports,-18.1,,2020,%,,INO
Indonesia,Growth Rates of Household Expenditure or Income per Capita,3.8,,2015-2019,%,10.1.1,INO
Indonesia,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,4.6,,2015-2019,%,10.1.1,INO
Indonesia,Inflation Rate,2,,2020,%,,INO
Indonesia,Material Footprint,1649.8,,2017,Million Metric Tons,12.2.1,INO
Indonesia,Material Footprint,6.3,,2017,Per Capita,12.2.1,INO
Indonesia,Maternal Mortality Ratio,177,,2017,"per 100,000 live births",3.1.1,INO
Indonesia,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",24.8,,2019,%,3.4.1,INO
Indonesia,Neonatal Mortality Rate,12.4,,2019,"per 1,000 live births",3.2.2,INO
Indonesia,Nominal Gross Domestic Product,1058.4,,2020,$ billion,,INO
Indonesia,Number of ATMs,53.4,,2019,"per 100,000 adults",8.10.1,INO
Indonesia,Number of Commercial Bank Branches,15.6,,2019,"per 100,000 adults",8.10.1,INO
Indonesia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female",100,6,2018,%,4.2.2,INO
Indonesia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male",91.8,6,2018,%,4.2.2,INO
Indonesia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total",95.8,6,2018,%,4.2.2,INO
Indonesia,"Per Capita Gross National Income (GNI), Atlas Method",4050,,2019,$,,INO
Indonesia,Population Density,141,,2020,persons per km2 of surface area,,INO
Indonesia,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,8,,2018,%,2.2.1,INO
Indonesia,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,10.2,,2018,%,2.2.1,INO
Indonesia,Prevalence of Stunting among Children under 5 Years of Age,30.5,,2018,%,2.2.1,INO
Indonesia,Prevalence of Undernourishment,9,,2017-2019,%,2.1.1,INO
Indonesia,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,48.9,,2017,%,8.10.2,INO
Indonesia,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,74.4,,2019,%,16.9.1,INO
Indonesia,"Proportion of Employed Population below $1.90 PPP a Day, Female",3.6,,2019,%,1.1.1,INO
Indonesia,"Proportion of Employed Population below $1.90 PPP a Day, Male",3.4,,2019,%,1.1.1,INO
Indonesia,"Proportion of Employed Population below $1.90 PPP a Day, Total",3.5,,2019,%,1.1.1,INO
Indonesia,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,2.9,7,2019,%,,INO
Indonesia,"Proportion of Population Covered by Mobile Network, 2G",98.7,,2019,%,9.c.1,INO
Indonesia,"Proportion of Population Covered by Mobile Network, 3G",97.7,,2019,%,9.c.1,INO
Indonesia,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",97.6,,2019,%,9.c.1,INO
Indonesia,Proportion of Population Living below the National Poverty Line,9.8,8,2020,%,,INO
Indonesia,"Proportion of Population Using Safely Managed Drinking Water Services, Rural",…,,2017,%,6.1.1,INO
Indonesia,"Proportion of Population Using Safely Managed Drinking Water Services, Total",…,,2017,%,6.1.1,INO
Indonesia,"Proportion of Population Using Safely Managed Drinking Water Services, Urban",…,,2017,%,6.1.1,INO
Indonesia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Rural",…,,2017,%,6.2.1,INO
Indonesia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Total",…,,2017,%,6.2.1,INO
Indonesia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Urban",…,,2017,%,6.2.1,INO
Indonesia,Proportion of Population with Access to Electricity,99,,2019,%,7.1.1,INO
Indonesia,Proportion of Seats Held by Women in National Parliaments,20.4,,2020,%,5.5.1,INO
Indonesia,"Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary",…,,2019,%,4.c.1,INO
Indonesia,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary",…,,2019,%,4.c.1,INO
Indonesia,"Proportion of Teachers with the Minimum Required Qualifications, Primary",…,,2019,%,4.c.1,INO
Indonesia,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary",…,,2019,%,4.c.1,INO
Indonesia,Renewable Energy Share in the Total Final Energy Consumption,20.9,,2018,%,7.2.1,INO
Indonesia,Surface Area,1916.9,,2018,'000  km2,,INO
Indonesia,Total Fertility Rate,2.3,,2018,births per woman,,INO
Indonesia,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",582.3,,2019,"disbursements, constant 2018, $ million",9.a.1,INO
Indonesia,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",1426.3,,2019,"disbursements, constant 2018, $ million",9.a.1,INO
Indonesia,"Total Outstanding, External Debt",417527,,2020,$ million,,INO
Indonesia,"Total Outstanding, External Debt",36.8,,2019,% of GNI,,INO
Indonesia,Total Population,270.2,,2000,million,,INO
Indonesia,Trade Balance,2.7,,2020,% of GDP,,INO
Indonesia,Tuberculosis Incidence,312,,2019,"per 100,000 population",3.3.2,INO
Indonesia,Under-5 Mortality Rate,23.9,,2019,"per 1,000 live births",3.2.1,INO
Indonesia,"Unemployment Rate, by Sex, Female",3.4,,2019,%,8.5.2,INO
Indonesia,"Unemployment Rate, by Sex, Male",3.8,,2019,%,8.5.2,INO
Indonesia,"Unemployment Rate, by Sex, Total",4.1,,2020,%,8.5.2,INO
Indonesia,Volume of Remittances in United States Dollars as a Proportion of Total GDP,1,,2019,%,17.3.2,INO
Kazakhstan,Age Dependency Ratio,58.8,,2020,% of working-age population,,KAZ
Kazakhstan,Annual Change in Money Supply,16.9,,2020,%,,KAZ
Kazakhstan,Annual Growth Rate of GDP,-2.6,,2020,%,,KAZ
Kazakhstan,Annual Growth Rate of Real GDP per Employed Person,4.2,,2019,%,8.2.1,KAZ
Kazakhstan,"Annual Real Growth Rates on Value Added, Agriculture",5.6,,2020,%,,KAZ
Kazakhstan,"Annual Real Growth Rates on Value Added, Industry",1.6,,2020,%,,KAZ
Kazakhstan,"Annual Real Growth Rates on Value Added, Services",-5.6,,2020,%,,KAZ
Kazakhstan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,14.5,,2016,μg/m3,11.6.2,KAZ
Kazakhstan,Average Annual Population Growth Rate,1.3,,2015-2020,%,,KAZ
Kazakhstan,CO2 Emissions,214,,2018,Million Metric Tons,9.4.1,KAZ
Kazakhstan,CO2 Emissions,0.4,,2018,Per Unit of GDP (PPP),9.4.1,KAZ
Kazakhstan,Coverage of Protected Areas in Relation to Marine Areas,50.7,,2020,%,14.5.1,KAZ
Kazakhstan,Current Account Balance,-3.5,,2020,% of GDP,,KAZ
Kazakhstan,Debt Service as a Percentage of Exports of Goods and Services,3.7,,2019,%,17.4.1,KAZ
Kazakhstan,Domestic Material Consumption,530.4,,2017,Million Metric Tons,12.2.2,KAZ
Kazakhstan,Domestic Material Consumption,29.1,,2017,Per Capita,12.2.2,KAZ
Kazakhstan,Forest Area as a Proportion of Total Land Area,1.3,,2020,%,15.1.1,KAZ
Kazakhstan,"Government Finance, Expenditure",24.7,,2020,% of  GDP,,KAZ
Kazakhstan,"Government Finance, Fiscal Balance",-4,,2020,% of  GDP,,KAZ
Kazakhstan,"Government Finance, Revenue",20.7,,2020,% of  GDP,,KAZ
Kazakhstan,Gross Domestic Investment,25.9,,2020,% of GDP,,KAZ
Kazakhstan,Gross International Reserves,35638,,2020,$ million,,KAZ
Kazakhstan,Growth Rate of Merchandise Exports,-19.4,,2020,%,,KAZ
Kazakhstan,Growth Rate of Merchandise Imports,-9.7,,2020,%,,KAZ
Kazakhstan,Growth Rates of Household Expenditure or Income per Capita,-0.2,,2013-2018,%,10.1.1,KAZ
Kazakhstan,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,-0.3,,2013-2018,%,10.1.1,KAZ
Kazakhstan,Inflation Rate,6.8,,2020,%,,KAZ
Kazakhstan,Material Footprint,330,,2017,Million Metric Tons,12.2.1,KAZ
Kazakhstan,Material Footprint,18.1,,2017,Per Capita,12.2.1,KAZ
Kazakhstan,Maternal Mortality Ratio,10,,2017,"per 100,000 live births",3.1.1,KAZ
Kazakhstan,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",22.4,,2019,%,3.4.1,KAZ
Kazakhstan,Neonatal Mortality Rate,4.7,,2019,"per 1,000 live births",3.2.2,KAZ
Kazakhstan,Nominal Gross Domestic Product,169.8,,2020,$ billion,,KAZ
Kazakhstan,Number of ATMs,85.9,,2019,"per 100,000 adults",8.10.1,KAZ
Kazakhstan,Number of Commercial Bank Branches,2.5,,2019,"per 100,000 adults",8.10.1,KAZ
Kazakhstan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female",77.5,8,2020,%,4.2.2,KAZ
Kazakhstan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male",78,8,2020,%,4.2.2,KAZ
Kazakhstan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total",77.7,8,2020,%,4.2.2,KAZ
Kazakhstan,"Per Capita Gross National Income (GNI), Atlas Method",8820,,2019,$,,KAZ
Kazakhstan,Population Density,7,,2020,persons per km2 of surface area,,KAZ
Kazakhstan,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,9.3,3,2015,%,2.2.1,KAZ
Kazakhstan,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,3.1,3,2015,%,2.2.1,KAZ
Kazakhstan,Prevalence of Stunting among Children under 5 Years of Age,8,3,2015,%,2.2.1,KAZ
Kazakhstan,Prevalence of Undernourishment,<2.5,,2017-2019,%,2.1.1,KAZ
Kazakhstan,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,58.7,,2017,%,8.10.2,KAZ
Kazakhstan,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,99.7,3,2015,%,16.9.1,KAZ
Kazakhstan,"Proportion of Employed Population below $1.90 PPP a Day, Female",–,,2019,%,1.1.1,KAZ
Kazakhstan,"Proportion of Employed Population below $1.90 PPP a Day, Male",0,,2019,%,1.1.1,KAZ
Kazakhstan,"Proportion of Employed Population below $1.90 PPP a Day, Total",–,,2019,%,1.1.1,KAZ
Kazakhstan,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,0,,2018,%,,KAZ
Kazakhstan,"Proportion of Population Covered by Mobile Network, 2G",98,,2019,%,9.c.1,KAZ
Kazakhstan,"Proportion of Population Covered by Mobile Network, 3G",88.8,,2019,%,9.c.1,KAZ
Kazakhstan,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",75.7,,2019,%,9.c.1,KAZ
Kazakhstan,Proportion of Population Living below the National Poverty Line,4.3,,2019,%,,KAZ
Kazakhstan,"Proportion of Population Using Safely Managed Drinking Water Services, Rural",…,,2017,%,6.1.1,KAZ
Kazakhstan,"Proportion of Population Using Safely Managed Drinking Water Services, Total",89.5,,2017,%,6.1.1,KAZ
Kazakhstan,"Proportion of Population Using Safely Managed Drinking Water Services, Urban",…,,2017,%,6.1.1,KAZ
Kazakhstan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Rural",…,,2017,%,6.2.1,KAZ
Kazakhstan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Total",…,,2017,%,6.2.1,KAZ
Kazakhstan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Urban",90.5,,2017,%,6.2.1,KAZ
Kazakhstan,Proportion of Population with Access to Electricity,100,,2019,%,7.1.1,KAZ
Kazakhstan,Proportion of Seats Held by Women in National Parliaments,27.1,,2020,%,5.5.1,KAZ
Kazakhstan,"Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary",…,,2019,%,4.c.1,KAZ
Kazakhstan,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary",100,2,2014,%,4.c.1,KAZ
Kazakhstan,"Proportion of Teachers with the Minimum Required Qualifications, Primary",100,8,2020,%,4.c.1,KAZ
Kazakhstan,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary",…,,2019,%,4.c.1,KAZ
Kazakhstan,Renewable Energy Share in the Total Final Energy Consumption,1.9,,2018,%,7.2.1,KAZ
Kazakhstan,Surface Area,2724.9,,2018,'000  km2,,KAZ
Kazakhstan,Total Fertility Rate,2.7,,2018,births per woman,,KAZ
Kazakhstan,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",7.2,,2019,"disbursements, constant 2018, $ million",9.a.1,KAZ
Kazakhstan,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",854.1,,2019,"disbursements, constant 2018, $ million",9.a.1,KAZ
Kazakhstan,"Total Outstanding, External Debt",158565,7,2019,$ million,,KAZ
Kazakhstan,"Total Outstanding, External Debt",97.1,,2019,% of GNI,,KAZ
Kazakhstan,Total Population,18.9,,2000,million,,KAZ
Kazakhstan,Trade Balance,6.3,,2020,% of GDP,,KAZ
Kazakhstan,Tuberculosis Incidence,68,,2019,"per 100,000 population",3.3.2,KAZ
Kazakhstan,Under-5 Mortality Rate,10.5,,2019,"per 1,000 live births",3.2.1,KAZ
Kazakhstan,"Unemployment Rate, by Sex, Female",5.3,,2019,%,8.5.2,KAZ
Kazakhstan,"Unemployment Rate, by Sex, Male",4.3,,2019,%,8.5.2,KAZ
Kazakhstan,"Unemployment Rate, by Sex, Total",6.1,,2020,%,8.5.2,KAZ
Kazakhstan,Volume of Remittances in United States Dollars as a Proportion of Total GDP,0.3,,2019,%,17.3.2,KAZ
Kiribati,Age Dependency Ratio,67,,2020,% of working-age population,,KIR
Kiribati,Annual Change in Money Supply,…,,2020,%,,KIR
Kiribati,Annual Growth Rate of GDP,0.6,,2020,%,,KIR
Kiribati,Annual Growth Rate of Real GDP per Employed Person,…,,2019,%,8.2.1,KIR
Kiribati,"Annual Real Growth Rates on Value Added, Agriculture",9,5,2017,%,,KIR
Kiribati,"Annual Real Growth Rates on Value Added, Industry",-15.8,5,2017,%,,KIR
Kiribati,"Annual Real Growth Rates on Value Added, Services",3.3,5,2017,%,,KIR
Kiribati,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,10.9,,2016,μg/m3,11.6.2,KIR
Kiribati,Average Annual Population Growth Rate,1.7,,2015-2020,%,,KIR
Kiribati,CO2 Emissions,…,,2018,Million Metric Tons,9.4.1,KIR
Kiribati,CO2 Emissions,…,,2018,Per Unit of GDP (PPP),9.4.1,KIR
Kiribati,Coverage of Protected Areas in Relation to Marine Areas,11.8,,2020,%,14.5.1,KIR
Kiribati,Current Account Balance,3.9,,2020,% of GDP,,KIR
Kiribati,Debt Service as a Percentage of Exports of Goods and Services,…,,2019,%,17.4.1,KIR
Kiribati,Domestic Material Consumption,0.7,,2017,Million Metric Tons,12.2.2,KIR
Kiribati,Domestic Material Consumption,6.3,,2017,Per Capita,12.2.2,KIR
Kiribati,Forest Area as a Proportion of Total Land Area,1.5,,2020,%,15.1.1,KIR
Kiribati,"Government Finance, Expenditure",117.2,,2020,% of  GDP,,KIR
Kiribati,"Government Finance, Fiscal Balance",-0.7,,2020,% of  GDP,,KIR
Kiribati,"Government Finance, Revenue",116.6,,2020,% of  GDP,,KIR
Kiribati,Gross Domestic Investment,24.5,5,2017,% of GDP,,KIR
Kiribati,Gross International Reserves,…,,2020,$ million,,KIR
Kiribati,Growth Rate of Merchandise Exports,4.5,,2020,%,,KIR
Kiribati,Growth Rate of Merchandise Imports,4.2,,2020,%,,KIR
Kiribati,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,KIR
Kiribati,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,10.1.1,KIR
Kiribati,Inflation Rate,1,,2020,%,,KIR
Kiribati,Material Footprint,…,,2017,Million Metric Tons,12.2.1,KIR
Kiribati,Material Footprint,…,,2017,Per Capita,12.2.1,KIR
Kiribati,Maternal Mortality Ratio,92,,2017,"per 100,000 live births",3.1.1,KIR
Kiribati,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",50.8,,2019,%,3.4.1,KIR
Kiribati,Neonatal Mortality Rate,22.1,,2019,"per 1,000 live births",3.2.2,KIR
Kiribati,Nominal Gross Domestic Product,0.2,,2020,$ billion,,KIR
Kiribati,Number of ATMs,14.3,1,2013,"per 100,000 adults",8.10.1,KIR
Kiribati,Number of Commercial Bank Branches,5.7,1,2013,"per 100,000 adults",8.10.1,KIR
Kiribati,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female",…,,2019,%,4.2.2,KIR
